1 quaffle ( volleyball , frisbee , soccer ball , etc . )	1 quaffle ( volleyball , frisbee , soccer ball , etc . )	NUM N;SG _ N;SG _ N;SG _ N;SG N;SG _ _ _ _
" this government is so consumed with control of information and secrecy yet they do n't seem to be able to get the fundamentals right , " dewar said .	" this government be so consume with control of information and secrecy yet they do n't seem to be able to get the fundamental right , " dewar say .	_ DET;SG N;SG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP ADP N;SG ADP N;SG CONJ N;SG ADV 3;NOM;PL;PRO FIN;IND;PRS;V NEG;PART NFIN;V PART NFIN;V ADJ PART NFIN;V DEF;DET N;PL N;SG _ _ PROPN;SG FIN;IND;PST;V _
mozilla firefox , its main rival , has been actively increasing its market share while the recently released google chrome is also quickly gaining users .	mozilla firefox , its main rival , have be actively increase its market share while the recently release google chrome be also quickly gain user .	PROPN;SG PROPN;SG _ 3;NEUT;PRO;SG ADJ N;SG _ 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADV PRS;V;V.PTCP 3;NEUT;PRO;SG N;SG N;SG CONJ DEF;DET ADV PST;V;V.PTCP PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V ADV ADV PRS;V;V.PTCP N;PL _
muslims are required to make a pilgrimage to mecca during their lifetimes , if physically or financially possible , as it is one of the five pillars of the islamic faith .	muslims be require to make a pilgrimage to mecca during their lifetime , if physically or financially possible , as it be one of the five pillar of the islamic faith .	PL;PROPN FIN;IND;PRS;V PST;V;V.PTCP PART NFIN;V DET;INDF N;SG ADP PROPN;SG ADP 3;PL;PRO N;PL _ CONJ ADV CONJ ADV ADJ _ CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V NUM ADP DEF;DET NUM N;PL ADP DEF;DET ADJ N;SG _
furthermore , before and after the implementation of the intervention , we performed a d2 test of attention that measures selective and sustained attention , as well as visual scanning accuracy and speed .	furthermore , before and after the implementation of the intervention , we perform a d2 test of attention that measure selective and sustained attention , as well as visual scanning accuracy and speed .	ADV _ ADP CONJ ADP DEF;DET N;SG ADP DEF;DET N;SG _ 1;NOM;PL;PRO FIN;IND;PST;V DET;INDF N;SG N;SG ADP N;SG PRO 3;FIN;IND;PRS;SG;V ADJ CONJ ADJ N;SG _ ADV ADV ADP ADJ N;SG N;SG CONJ N;SG _
browsing the catalog , i find that the quality of the spoken audio varies greatly from text to text or even from chapter to chapter .	browse the catalog , i find that the quality of the speak audio vary greatly from text to text or even from chapter to chapter .	V;V.MSDR DEF;DET N;SG _ 1;NOM;PRO;SG FIN;IND;PRS;V CONJ DEF;DET N;SG ADP DEF;DET PST;V;V.PTCP N;SG 3;FIN;IND;PRS;SG;V ADV ADP N;SG ADP N;SG CONJ ADV ADP N;SG ADP N;SG _
image : mathias krumbholz .	image : mathias krumbholz .	N;SG _ PROPN;SG PROPN;SG _
term limits for congress and the courts returning government to the people .	term limit for congress and the court return government to the people .	N;SG N;PL ADP PROPN;SG CONJ DEF;DET N;PL V;V.MSDR N;SG ADP DEF;DET N;PL _
they were laughing at the chemist as well as at the traveler .	they be laugh at the chemist as well as at the traveler .	3;NOM;PL;PRO FIN;IND;PST;V PRS;V;V.PTCP ADP DEF;DET N;SG ADP ADV ADP ADP DEF;DET N;SG _
friday , may 8 , 2009	friday , may 8 , @card@	PROPN;SG _ PROPN;SG NUM _ NUM
alternatively , if life has not been good to you so far , ( and considering your current situation this seems more likely ) consider how lucky you are that it will not be troubling you much longer .	alternatively , if life have not be good to you so far , ( and consider your current situation this seem more likely ) consider how lucky you be that it will not be trouble you much longer .	ADV _ CONJ N;SG 3;FIN;IND;PRS;SG;V NEG;PART PST;V;V.PTCP ADJ ADP 2;NOM;PRO ADV ADV _ _ CONJ V;V.MSDR 2;PRO ADJ N;SG PRO;SG 3;FIN;IND;PRS;SG;V ADV ADJ _ NFIN;V CONJ ADJ 2;NOM;PRO FIN;IND;PRS;V CONJ 3;NEUT;NOM;PRO;SG FIN;V NEG;PART NFIN;V PRS;V;V.PTCP 2;ACC;PRO ADV ADV;CMPR _
the hardest part of flirting is to break through your initial reluctance , so if you 're having a hard time taking the plunge , just remind yourself that no matter how badly it goes , it 'll be less stressful than an equivalent real-world encounter .	the hard part of flirt be to break through your initial reluctance , so if you be have a hard time take the plunge , just remind yourself that no matter how badly it go , it will be less stressful than an equivalent real encounter .	DEF;DET ADJ;RL N;SG ADP V;V.MSDR 3;FIN;IND;PRS;SG;V PART NFIN;V ADP 2;PRO ADJ N;SG _ ADV CONJ 2;NOM;PRO FIN;IND;PRS;V V;V.MSDR DET;INDF ADJ N;SG V;V.MSDR DEF;DET N;SG _ ADV NFIN;V 2;ACC;PRO;REFL;SG CONJ DET;NEG N;SG CONJ ADV 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V _ 3;NEUT;NOM;PRO;SG FIN;V NFIN;V ADV;CMPR ADJ ADP DET;INDF ADJ N;SG N;SG _
for men , ankle-length pants are mandatory ;	for man , ankle-length pant be mandatory ;	ADP N;PL _ ADJ N;PL FIN;IND;PRS;V ADJ _
he was ordained as a baptist minister .	he be ordain as a baptist minister .	3;MASC;NOM;PRO;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DET;INDF PROPN;SG N;SG _
do you ask for references ?	do you ask for reference ?	FIN;IND;PRS;V 2;NOM;PRO NFIN;V ADP N;PL _
working together with both republicans and democrats , we can get the good aspects of each party while rejecting the bad parts of both .	work together with both republicans and democrats , we can get the good aspect of each party while reject the bad part of both .	V;V.MSDR ADV ADP CONJ PL;PROPN CONJ PL;PROPN _ 1;NOM;PL;PRO FIN;V NFIN;V DEF;DET ADJ N;PL ADP DET N;SG CONJ V;V.MSDR DEF;DET ADJ N;PL ADP PRO _
expect impact .	expect impact .	NFIN;V N;SG _
tips	tip	N;PL
the galileo and ulysses spacecraft carried dust detectors onboard that eberhard gruen and his colleagues used to first detect and them measure the flux of interstellar dust particles streaming into the solar system .	the galileo and ulysses spacecraft carry dust detector onboard that eberhard gruen and his colleague use to first detect and then measure the flux of interstellar dust particle stream into the solar system .	DEF;DET PROPN;SG CONJ PROPN;SG N;SG FIN;IND;PST;V N;SG N;PL ADV PRO PROPN;SG PROPN;SG CONJ 3;MASC;PRO;SG N;PL FIN;IND;PST;V PART ADV NFIN;V CONJ ADV NFIN;V DEF;DET N;SG ADP ADJ N;SG N;PL V;V.MSDR ADP DEF;DET ADJ N;SG _
hold the chicken down on a flat surface .	hold the chicken down on a flat surface .	NFIN;V DEF;DET N;SG ADP ADP DET;INDF ADJ N;SG _
dna is the only way to test this .	nn be the only way to test this .	PROPN;SG 3;FIN;IND;PRS;SG;V DEF;DET ADJ N;SG PART NFIN;V PRO;SG _
my ties to the republican party date back to 1979 , when i volunteered for ronald reagan and his campaign in new hampshire .	my ty to the republican party date back to @card@ , when i volunteer for ronald reagan and his campaign in new hampshire .	1;PRO;SG N;PL ADP DEF;DET PROPN;SG N;SG FIN;IND;PRS;V ADV ADP NUM _ CONJ 1;NOM;PRO;SG FIN;IND;PST;V ADP PROPN;SG PROPN;SG CONJ 3;MASC;PRO;SG N;SG ADP PROPN;SG PROPN;SG _
the direction of saccades is determined by an interaction between the goals of the observer and the physical properties of the different elements of the scene ( e.g. colour , texture , brightness etc ) .	the direction of saccades be determine by an interaction between the goal of the observer and the physical property of the different element of the scene ( e.g. colour , texture , brightness etc. ) .	DEF;DET N;SG ADP N;PL 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP DET;INDF N;SG ADP DEF;DET N;PL ADP DEF;DET N;SG CONJ DEF;DET ADJ N;PL ADP DEF;DET ADJ N;PL ADP DEF;DET N;SG _ _ N;SG _ N;SG _ N;SG _ _ _
he reemerged in september 1859 , laying claim to the position of emperor of the united states .	he reemerge in september @card@ , lay claim to the position of emperor of the united states .	3;MASC;NOM;PRO;SG FIN;IND;PST;V ADP PROPN;SG NUM _ V;V.MSDR N;SG ADP DEF;DET N;SG ADP PROPN;SG ADP DEF;DET PROPN;SG PL;PROPN _
north oakland is a sweeping term , referring to just about everywhere north of uptown and lake merritt .	north oakland be a sweeping term , refer to just about everywhere north of uptown and lake merritt .	PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG _ V;V.MSDR ADP ADV ADV ADV N;SG ADP N;SG CONJ PROPN;SG PROPN;SG _
it could look like almost the opposite : literature is kind of arts and mathematics is science but they also see a lot in common and there where mathematician who were writers .	it could look like almost the opposite : literature be kind of art and mathematics be science but they also see a lot in common and there be mathematician who be writer .	3;NEUT;NOM;PRO;SG FIN;V NFIN;V ADP ADV DEF;DET N;SG _ N;SG 3;FIN;IND;PRS;SG;V N;SG ADP N;PL CONJ N;SG 3;FIN;IND;PRS;SG;V N;SG CONJ 3;NOM;PL;PRO ADV FIN;IND;PRS;V DET;INDF N;SG ADP ADJ CONJ PRO FIN;IND;PST;V N;SG PRO FIN;IND;PST;V N;PL _
basic vanilla vegan cupcakes	basic vanilla vegan cupcake	ADJ N;SG ADJ N;PL
west oakland was once a burgeoning working-class neighborhood with its roots tracing as far back as the opening decades of the 19th century .	west oakland be once a burgeon working-class neighborhood with its root trace as far back as the open decade of the 19th century .	PROPN;SG PROPN;SG 3;FIN;IND;PST;SG;V ADV DET;INDF V;V.MSDR ADJ N;SG ADP 3;NEUT;PRO;SG N;PL V;V.MSDR CONJ ADV ADV ADP DEF;DET V;V.MSDR N;PL ADP DEF;DET ADJ N;SG _
things have grown steadily since .	thing have grow steadily since .	N;PL FIN;IND;PRS;V PST;V;V.PTCP ADV ADP _
dab 's elizabeth quat	dab 's elizabeth quat	N;SG PART PROPN;SG PROPN;SG
however , the jsc will recieve pilot and commander seats from the flight deck .	however , the jsc will recieve pilot and commander seat from the flight deck .	ADV _ DEF;DET PROPN;SG FIN;V NFIN;V N;SG CONJ N;SG N;PL ADP DEF;DET N;SG N;SG _
daniel montalvo , 19 , a member of scientology all his life , was arrested after leaving its elite group the sea org .	daniel montalvo , @card@ , a member of scientology all his life , be arrest after leave its elite group the sea org .	PROPN;SG PROPN;SG _ NUM _ DET;INDF N;SG ADP PROPN;SG PRO 3;MASC;PRO;SG N;SG _ 3;FIN;IND;PST;SG;V PST;V;V.PTCP CONJ V;V.MSDR 3;NEUT;PRO;SG ADJ N;SG DEF;DET PROPN;SG PROPN;SG _
no , i will back the nominee of the republican party in 2016 .	no , i will back the nominee of the republican party in @card@ .	ADV _ 1;NOM;PRO;SG FIN;V NFIN;V DEF;DET N;SG ADP DEF;DET ADJ N;SG ADP NUM _
three methods : single serving ( 25 ml shot )	three method : single serve ( @card@ ml shot )	NUM N;PL _ ADJ V;V.MSDR _ NUM N;PL N;SG _
" my father , he 's an anthropologist , " she said .	'' my father , he be an anthropologist , '' she say .	_ 1;PRO;SG N;SG _ 3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF N;SG _ _ 3;FEM;NOM;PRO;SG FIN;IND;PST;V _
here stands the biggest shopping mall of the island .	here stand the big shopping mall of the island .	ADV 3;FIN;IND;PRS;SG;V DEF;DET ADJ;RL N;SG N;SG ADP DEF;DET N;SG _
the team was n't so far ahead that we knew .	the team be n't so far ahead that we know .	DEF;DET N;SG 3;FIN;IND;PST;SG;V NEG;PART ADV ADV ADV CONJ 1;NOM;PL;PRO FIN;IND;PST;V _
fill flats or individual seed containers with a mixture of equal parts perlite , vermiculite , and peat .	fill flat or individual seed container with a mixture of equal part perlite , vermiculite , and peat .	NFIN;V N;PL CONJ ADJ N;SG N;PL ADP DET;INDF N;SG ADP ADJ N;PL N;SG _ N;SG _ CONJ N;SG _
but i am also happy to not go , as long as someone collects more animals on my behalf !	but i be also happy to not go , as long as someone collect more animal on my behalf !	CONJ 1;NOM;PRO;SG 1;FIN;IND;PRS;SG;V ADV ADJ PART NEG;PART NFIN;V _ ADV ADV CONJ N;SG 3;FIN;IND;PRS;SG;V ADJ;CMPR N;PL ADP 1;PRO;SG N;SG _
alternative : lack of companions	alternative : lack of companion	N;SG _ N;SG ADP N;PL
i visited the festival on saturday night , the opening night , and there was a sea of people in the square .	i visit the festival on saturday night , the opening night , and there be a sea of people in the square .	1;NOM;PRO;SG FIN;IND;PST;V DEF;DET N;SG ADP PROPN;SG N;SG _ DEF;DET N;SG N;SG _ CONJ PRO 1;FIN;IND;PST;SG;V DET;INDF N;SG ADP N;PL ADP DEF;DET N;SG _
york is frequently ranked ( often vying with manchester ) the second most visited city in england after london .	york be frequently rank ( often vie with manchester ) the second most visit city in england after london .	PROPN;SG 3;FIN;IND;PRS;SG;V ADV FIN;IND;PST;V _ ADV V;V.MSDR ADP PROPN;SG _ DEF;DET ADJ ADV PST;V;V.PTCP N;SG ADP PROPN;SG ADP PROPN;SG _
the square is surrounded by buildings from the safavid era .	the square be surround by building from the safavid era .	DEF;DET N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP N;PL ADP DEF;DET PROPN;SG N;SG _
he was the co-founder of the national democratic party in iraq .	he be the co-founder of the national democratic party in iraq .	3;MASC;NOM;PRO;SG 3;FIN;IND;PST;SG;V DEF;DET N;SG ADP DEF;DET PROPN;SG PROPN;SG PROPN;SG ADP PROPN;SG _
tips	tip	N;PL
by bus	by bus	ADP N;SG
if wikihow volunteers think our site is going in the wrong direction , they can take all the content and all the software and move the project elsewhere .	if wikihow volunteer think our site be go in the wrong direction , they can take all the content and all the software and move the project elsewhere .	CONJ PROPN;SG N;PL FIN;IND;PRS;V 1;PL;PRO N;SG 3;FIN;IND;PRS;SG;V PRS;V;V.PTCP ADP DEF;DET ADJ N;SG _ 3;NOM;PL;PRO FIN;V NFIN;V PRO DEF;DET N;SG CONJ PRO DEF;DET N;SG CONJ NFIN;V DEF;DET N;SG ADV _
jafari said she felt mohamed had been subject to islamophobia and her hashtag created greater awareness about this issue .	jafari say she feel mohamed have be subject to islamophobia and her hashtag create great awareness about this issue .	PROPN;SG FIN;IND;PST;V 3;FEM;NOM;PRO;SG FIN;IND;PST;V PROPN;SG FIN;IND;PST;V PST;V;V.PTCP N;SG ADP N;SG CONJ 3;FEM;PRO;SG N;SG FIN;IND;PST;V ADJ;CMPR N;SG ADP DET;SG N;SG _
considering socotra is a fairly new eco-tourism destination , their facilities are decent .	consider socotra be a fairly new eco-tourism destination , their facility be decent .	V;V.MSDR PROPN;SG 3;FIN;IND;PRS;SG;V DET;INDF ADV ADJ N;SG N;SG _ 3;PL;PRO N;PL FIN;IND;PRS;V ADJ _
stretching is important to loosen muscles , strengthen muscles and to elongate your posture .	stretch be important to loosen muscle , strengthen muscle and to elongate your posture .	V;V.MSDR 3;FIN;IND;PRS;SG;V ADJ PART NFIN;V N;PL _ NFIN;V N;PL CONJ PART NFIN;V 2;PRO N;SG _
she was staggered by the loss last year to the cardinals .	she be staggered by the loss last year to the cardinal .	3;FEM;NOM;PRO;SG 3;FIN;IND;PST;SG;V ADJ ADP DEF;DET N;SG ADJ N;SG ADP DEF;DET PL;PROPN _
what you do n’t want to wash with them is anything that can get twisted up with the straps , like women ’s long sleeve shirts or kids ’ blankets .	what you do n't want to wash with them be anything that can get twist up with the strap , like woman 's long sleeve shirt or kid 's blanket .	PRO 2;NOM;PRO FIN;IND;PRS;V NEG;PART NFIN;V PART NFIN;V ADP 3;ACC;PL;PRO 3;FIN;IND;PRS;SG;V N;SG PRO FIN;V NFIN;V PST;V;V.PTCP ADP ADP DEF;DET N;PL _ ADP N;PL PART ADJ N;SG N;PL CONJ N;PL PART N;PL _
if you find yourself being pulled off into the depths of daydreams , set a period of time to do nothing but work .	if you find yourself be pull off into the depth of daydream , set a period of time to do nothing but work .	CONJ 2;NOM;PRO FIN;IND;PRS;V 2;ACC;PRO;REFL;SG V;V.MSDR PST;V;V.PTCP ADP ADP DEF;DET N;PL ADP N;PL _ NFIN;V DET;INDF N;SG ADP N;SG PART NFIN;V N;SG CONJ NFIN;V _
try this with a group of friends .	try this with a group of friend .	NFIN;V PRO;SG ADP DET;INDF N;SG ADP N;PL _
it emphasizes consumerism , the belief that success always goes to people who merit it due to their abilities , dedication and qualifications , and reinforces , rather than changes , existing ideas related to gender , ethnicity and nationality .	it emphasize consumerism , the belief that success always go to people who merit it due to their ability , dedication and qualification , and reinforce , rather than change , exist idea relate to gender , ethnicity and nationality .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V N;SG _ DEF;DET N;SG CONJ N;SG ADV 3;FIN;IND;PRS;SG;V ADP N;PL PRO FIN;IND;PRS;V 3;ACC;NEUT;PRO;SG ADJ ADP 3;PL;PRO N;PL _ N;SG CONJ N;PL _ CONJ 3;FIN;IND;PRS;SG;V _ ADV ADP N;PL _ V;V.MSDR N;PL PST;V;V.PTCP ADP N;SG _ N;SG CONJ N;SG _
ripple effects are causing project slowdowns ... ”	ripple effect be cause project slowdown ... "	N;SG N;PL FIN;IND;PRS;V PRS;V;V.PTCP N;SG N;PL _ _
just west of downtown and slightly north of the financial district is uptown .	just west of downtown and slightly north of the financial district be uptown .	ADV ADJ ADP N;SG CONJ ADV ADJ ADP DEF;DET PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V N;SG _
drink from me if you can ; wash , if you like ; trouble my waters if you dare .	drink from me if you can ; wash , if you like ; trouble my water if you dare .	NFIN;V ADP 1;ACC;PRO;SG CONJ 2;ACC;PRO FIN;V _ NFIN;V _ CONJ 2;ACC;PRO FIN;IND;PRS;V _ NFIN;V 1;PRO;SG N;PL CONJ 2;ACC;PRO FIN;IND;PRS;V _
cheap , full of locals , conducted by fearless drivers , you can enjoy the beautiful caribbean panorama to the sound of guadeloupean zouk music .	cheap , full of local , conduct by fearless driver , you can enjoy the beautiful caribbean panorama to the sound of guadeloupean zouk music .	ADJ _ ADJ ADP N;PL _ PST;V;V.PTCP ADP ADJ N;PL _ 2;NOM;PRO FIN;V NFIN;V DEF;DET ADJ ADJ N;SG ADP DEF;DET N;SG ADP ADJ N;SG N;SG _
sociologists have explored the adverse consequences of discrimination [ 3 – 5 ] ;	sociologist have explore the adverse consequence of discrimination [ 3 – 5 ] ;	N;PL FIN;IND;PRS;V PST;V;V.PTCP DEF;DET ADJ N;PL ADP N;SG _ NUM ADP NUM _ _
he now discusses his work with wikinews .	he now discuss his work with wikinews .	3;MASC;NOM;PRO;SG ADV 3;FIN;IND;PRS;SG;V 3;MASC;PRO;SG N;SG ADP PROPN;SG _
if you 're playing quidditch you 're probably just having fun so play nicely .	if you be play quidditch you be probably just have fun so play nicely .	CONJ 2;NOM;PRO FIN;IND;PRS;V PRS;V;V.PTCP N;SG 2;NOM;PRO FIN;IND;PRS;V ADV ADV PRS;V;V.PTCP N;SG ADV NFIN;V ADV _
