ja vel kor langt uti kunne ein gå ?	ja vel kor lang uti kunne ein gå $?	INTJ ADV ADV ADJ;INDF;NEUT;SG ADP FIN;IND;PST;V HUM;NOM;PRO;SG NFIN;V _
e # kor hen e var det helst at ein dreiv etter sild da ?	e # kor hen e vere det helst at ein drive etter sild da $?	_ _ ADV ADP _ FIN;IND;PST;V 3;NEUT;PRO;SG ADV CONJ HUM;NOM;PRO;SG FIN;IND;PST;V ADP FEM;INDF;N;SG ADV _
atten øre er billegaste eg har kjøpt .	atten øre vere billeg eg ha kjøpe $.	NUM;PL INDF;N;NEUT;PL FIN;IND;PRS;V ADJ;DEF;RL 1;HUM;NOM;PRO;SG FIN;IND;PRS;V V;V.PTCP _
så det e så det var ein hyggeleg mann å komme til .	så det e så det vere ein hyggeleg mann å komme til $.	CONJ 3;NEUT;PRO;SG _ CONJ 3;NEUT;PRO;SG FIN;IND;PST;V DET;MASC;SG ADJ;INDF;SG INDF;MASC;N;SG PART NFIN;V ADP _
men nå hugsar eg ikkje nå kor lenge han var med men .	men nå hugse eg ikkje nå kor lenge han vere med men $.	CONJ ADV FIN;IND;PRS;V 1;HUM;NOM;PRO;SG NEG;PART ADV ADV ADJ 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADP CONJ _
.	$.	_
nei blyet det kapteinane det kom når dei begynte med snurpenøter da .	nei bly det kaptein det komme når dei begynne med snurpenot da $.	INTJ DEF;N;NEUT;SG 3;NEUT;PRO;SG DEF;MASC;N;PL 3;NEUT;PRO;SG FIN;IND;PST;V CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADP FEM;INDF;N;PL ADV _
nei stort sett i- # stort sett ikkje det det var fis- stort sett fiskeri det var jo nokon som arbeidde på land og med forskje- med fiske og forskjellig anna .	nei stor sjå i- # stor sjå ikkje det det vere fis- stor sjå fiskeri det vere jo nokon som arbeide på land og med forskje- med fiske og forskjellig annen $.	INTJ ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG _ _ ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG NEG;PART 3;NEUT;PRO;SG 3;NEUT;PRO;SG FIN;IND;PST;V _ ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG INDF;N;NEUT;PL 3;NEUT;PRO;SG FIN;IND;PST;V ADV 3;NOM;PL;PRO PRO FIN;IND;PST;V ADP INDF;N;NEUT;PL CONJ ADP _ ADP INDF;N;NEUT;PL CONJ ADJ;INDF;NEUT;SG DET;INDF;NEUT;SG _
til vi fekk motorspel men det vart nå fleire år deretter da .	til vi få motorspel men det bli nå mange år deretter da $.	ADP 1;HUM;NOM;PL;PRO FIN;IND;PST;V INDF;N;NEUT;PL CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV ADJ INDF;N;NEUT;PL ADV ADV _
det var # bra # med .	det vere # bra # med $.	3;NEUT;PRO;SG FIN;IND;PST;V _ ADJ;INDF;NEUT;SG _ ADP _
ja du slutta da du blei sytti år ?	ja du slutte da du bli sytti år $?	INTJ 2;HUM;NOM;PRO;SG FIN;IND;PST;V ADV 2;HUM;NOM;PRO;SG FIN;IND;PST;V NUM;PL INDF;N;NEUT;PL _
ja kom isebåtar # når ho skulle levere til isings .	ja komme isebåt # når ho skulle levere til ising $.	INTJ FIN;IND;PST;V INDF;MASC;N;PL _ CONJ 3;FEM;NOM;PRO;SG FIN;IND;PST;V NFIN;V ADP FEM;INDF;N;SG _
det var vi ja .	det vere vi ja $.	3;NEUT;PRO;SG FIN;IND;PST;V 1;HUM;NOM;PL;PRO INTJ _
og så nå er det jo ein heilt annan diesel .	og så nå vere det jo ein heil annan diesel $.	CONJ ADV ADV FIN;IND;PRS;V 3;NEUT;PRO;SG ADV DET;MASC;SG ADJ;INDF;NEUT;SG DET;INDF;MASC;SG INDF;MASC;N;SG _
på lundebygardane køyrde lundeby mjølka ?	på lundebygardane køyre lundeby mjølk $?	ADP PROPN FIN;IND;PST;V PROPN DEF;FEM;N;SG _
em # kasta over ei bukt da gjerne ?	em # kaste over ein bukt da gjerne $?	_ _ FIN;IND;PST;V ADP DET;FEM;SG FEM;INDF;N;SG ADV ADV _
å ja .	å ja $.	INTJ INTJ _
da blei det ei anna ordning .	da bli det ein annan ordning $.	ADV FIN;IND;PST;V 3;NEUT;PRO;SG DET;FEM;SG DET;FEM;INDF;SG FEM;INDF;N;SG _
så da måtte ... .	så da måtte … $.	CONJ ADV FIN;IND;PST;V _ _
så når var det eit uk- uvêr så var det også # båtar som # ikkje klarte å komme seg til land som blei brotne ned av sjøen eller dreiv # dreiv s- fekk skade på båten etter at dei dreiv i land og # omkom på den måten .	så når vere det ein uk- uvêr så vere det også # båt som # ikkje klare å komme seg til land som bli bryte ned av sjø eller drive # drive s- få skade på båt etter at dei drive i land og # omkomme på den måte $.	ADV ADV FIN;IND;PST;V 3;NEUT;PRO;SG DET;NEUT;SG _ INDF;N;NEUT;SG ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADV _ INDF;MASC;N;PL PRO _ NEG;PART FIN;IND;PST;V ADP NFIN;V ACC;PRO;REFL ADP INDF;N;NEUT;PL PRO FIN;IND;PST;V ADJ;PL ADP ADP DEF;MASC;N;SG CONJ FIN;IND;PST;V _ FIN;IND;PST;V _ FIN;IND;PST;V INDF;MASC;N;SG ADP DEF;MASC;N;SG CONJ CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADP INDF;N;NEUT;PL CONJ _ FIN;IND;PST;V ADP DET;MASC;SG DEF;MASC;N;SG _
ja både begge to var med og køyrde .	ja både begge to vere med og køyre $.	INTJ CONJ DET;PL NUM;PL FIN;IND;PST;V ADP CONJ FIN;IND;PST;V _
sa- # same gata .	sa- # same gate $.	_ _ DEF;DET DEF;FEM;N;SG _
som oftast .	som ofte $.	ADP ADJ;RL _
jaha ## ja .	jaha ## ja $.	INTJ _ INTJ _
ja .	ja $.	INTJ _
da hugsar eg godt den dagen som krigen begynte så # kom # t- e .	da hugse eg god den dag som krig begynne så # komme # t- e $.	ADV FIN;IND;PRS;V 1;HUM;NOM;PRO;SG ADJ;INDF;NEUT;SG DET;MASC;SG DEF;MASC;N;SG PRO DEF;MASC;N;SG FIN;IND;PST;V ADV _ FIN;IND;PST;V _ _ _ _
fisk var meir og mindre selvfølgelig # og # årstidene hadde også .	fisk vere mykje og liten selvfølgelig # og # årstid ha også $.	INDF;MASC;N;SG FIN;IND;PST;V ADJ CONJ ADJ ADV _ CONJ _ DEF;FEM;N;PL FIN;IND;PST;V ADV _
ikk- med drift # med benne- med e olje .	ikk- med drift # med benne- med e olje $.	_ ADP FEM;INDF;N;SG _ ADP _ ADP _ FEM;INDF;N;SG _
så eg brydde budd i den vesle bygningen eg da .	så eg bry bu i den liten bygning eg da $.	CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V V;V.PTCP ADP DET;MASC;SG ADJ;DEF;SG DEF;MASC;N;SG 1;HUM;NOM;PRO;SG ADV _
det var folk som budde i oslo jobba i oslo ?	det vere folk som bu i oslo jobbe i oslo $?	3;NEUT;PRO;SG FIN;IND;PST;V INDF;N;NEUT;PL PRO FIN;IND;PST;V ADP PROPN FIN;IND;PST;V ADP PROPN _
ja vel .	ja vel $.	INTJ ADV _
ja .	ja $.	INTJ _
ja eg kjøpte jo hesselmenn etterpå og da gav det # var det seksti og fem og seksti og sånn .	ja eg kjøpe jo hesselmenn etterpå og da gi det # vere det seksti og fem og seksti og sånn $.	INTJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADV PROPN ADV CONJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG _ FIN;IND;PST;V 3;NEUT;PRO;SG NUM;PL CONJ NUM;PL CONJ NUM;PL CONJ ADV _
den leverte vi han til linde .	den levere vi han til linde $.	3;NOM;PRO;SG FIN;IND;PST;V 1;HUM;NOM;PL;PRO 3;MASC;NOM;PRO;SG ADP PROPN _
ja m2 det er ja det er den yngste utav dei søskena # ja den på sildeoljefabrikken i vads- er han ikkje det .	ja m2 det vere ja det vere den ung utav dei søsken # ja den på sildeoljefabrikk i vads- vere han ikkje det $.	INTJ PROPN 3;NEUT;PRO;SG FIN;IND;PRS;V INTJ 3;NEUT;PRO;SG FIN;IND;PRS;V DET;MASC;SG ADJ;DEF;RL ADP DET;PL DEF;N;NEUT;PL _ INTJ 3;NOM;PRO;SG ADP DEF;MASC;N;SG ADP PROPN FIN;IND;PRS;V 3;MASC;NOM;PRO;SG NEG;PART 3;NEUT;PRO;SG _
ja .	ja $.	INTJ _
ja .	ja $.	INTJ _
ja .	ja $.	INTJ _
ja .	ja $.	INTJ _
og han # føre jul og sånn så kunne eg køyre kvar einaste .	og han # føre jul og sånn så kunne eg køyre kvar einaste $.	CONJ 3;MASC;NOM;PRO;SG _ ADP FEM;INDF;N;SG CONJ ADV ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG NFIN;V DET;MASC;SG DEF;NUM _
.	$.	_
ja det var vel i tredvetala .	ja det vere vel i tredvetale $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV ADP DEF;FEM;N;SG _
mjølkekummen ned og bere ho utpå bere ho oppå og kaste oppå bilen .	mjølkekum ned og bere ho utpå bere ho oppå og kaste oppå bil $.	DEF;MASC;N;SG ADP CONJ NFIN;V 3;ACC;FEM;PRO;SG ADP NFIN;V 3;ACC;FEM;PRO;SG ADP CONJ NFIN;V ADP DEF;MASC;N;SG _
dessuten trur eg vi var ute det fleste båtane dreiv det var på banken utfor vardø # tre timar på banken # utover frå vardø .	dessuten tru eg vi vere ute det mange båt drive det vere på bank utfor vardø # tre time på bank # utover frå vardø $.	ADV FIN;IND;PRS;V 1;HUM;NOM;PRO;SG 1;HUM;NOM;PL;PRO FIN;IND;PST;V ADP 3;NEUT;PRO;SG ADJ;DEF;RL DEF;MASC;N;PL FIN;IND;PST;V 3;NEUT;PRO;SG FIN;IND;PST;V ADP DEF;MASC;N;SG ADP PROPN _ NUM;PL INDF;MASC;N;PL ADP DEF;MASC;N;SG _ ADP ADP PROPN _
men det .	men det $.	CONJ 3;NEUT;PRO;SG _
men kvar mann hadde same luten enten han var # fagmann eller han var nybegynnar .	men kvar mann ha same lut enten han vere # fagmann eller han vere nybegynnar $.	CONJ DET;MASC;SG INDF;MASC;N;SG FIN;IND;PST;V DEF;DET DEF;MASC;N;SG CONJ 3;MASC;NOM;PRO;SG FIN;IND;PST;V _ INDF;MASC;N;SG CONJ 3;MASC;NOM;PRO;SG FIN;IND;PST;V INDF;MASC;N;SG _
ja .	ja $.	INTJ _
ja .	ja $.	INTJ _
ja det var det ve- eg skal seie det var vel ikkje så bra akkurat # sjølv om dei fleste blir jo om dei ikkje # hadde # lyst til det så blei dei jo enten var det at # må du gå for tyskarane som hadde dei som hadde båtane .	ja det vere det ve- eg skulle seie det vere vel ikkje så bra akkurat # sjølv om dei mange bli jo om dei ikkje # ha # lyst til det så bli dei jo enten vere det at # måtte du gå for tyskar som ha dei som ha båt $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V 3;NEUT;PRO;SG _ 1;HUM;NOM;PRO;SG FIN;IND;PRS;V NFIN;V 3;NEUT;PRO;SG FIN;IND;PST;V ADV NEG;PART ADV ADJ;INDF;NEUT;SG ADV _ ADV CONJ DET;PL ADJ;DEF;RL FIN;IND;PRS;V ADV CONJ 3;HUM;NOM;PL;PRO NEG;PART _ FIN;IND;PST;V _ FEM;INDF;N;SG ADP 3;NEUT;PRO;SG ADV FIN;IND;PST;V 3;HUM;NOM;PL;PRO ADV CONJ FIN;IND;PST;V 3;NEUT;PRO;SG CONJ _ FIN;IND;PRS;V 2;HUM;NOM;PRO;SG NFIN;V ADP DEF;MASC;N;PL PRO FIN;IND;PST;V 3;HUM;NOM;PL;PRO PRO FIN;IND;PST;V DEF;MASC;N;PL _
ikkje så t- ikkje s- ikkje så triveleg .	ikkje så t- ikkje s- ikkje så triveleg $.	NEG;PART ADV _ NEG;PART _ NEG;PART ADV ADJ;INDF;NEUT;SG _
men dei som gjekk på tyskland dei tok opptil .	men dei som gå på tyskland dei ta opptil $.	CONJ 3;HUM;NOM;PL;PRO PRO FIN;IND;PST;V ADP PROPN 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADP _
langga- langgata ?	langga- langgata $?	_ PROPN _
køyrde de til byen to gonger om dagen da ?	køyre de til by to gong om dag da $?	FIN;IND;PST;V 2;HUM;NOM;PL;PRO ADP DEF;MASC;N;SG NUM;PL INDF;MASC;N;PL ADP DEF;MASC;N;SG ADV _
eller hektoliter eller det vart nå hektoliter # det var vel .	eller hektoliter eller det bli nå hektoliter # det vere vel $.	CONJ INDF;MASC;N;PL CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV INDF;MASC;N;PL _ 3;NEUT;PRO;SG FIN;IND;PST;V ADV _
men men dei dei hefta seg mykje med med dei her e # instrumenta til e # til e # lysanlegget .	men men dei dei hefte seg mykje med med dei her e # instrument til e # til e # lysanlegg $.	CONJ CONJ 3;HUM;NOM;PL;PRO 3;HUM;NOM;PL;PRO FIN;IND;PST;V ACC;PRO;REFL ADJ;INDF;NEUT;SG ADP ADP 3;HUM;NOM;PL;PRO ADV _ _ DEF;N;NEUT;PL ADP _ _ ADP _ _ DEF;N;NEUT;SG _
ja det var tungt det gjekk seint når du skulle kage henne .	ja det vere tung det gå sein når du skulle kage ho $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG CONJ 2;HUM;NOM;PRO;SG FIN;IND;PST;V NFIN;V 3;ACC;FEM;PRO;SG _
og mjølketransporten da etterpå der da ?	og mjølketransport da etterpå der da $?	CONJ DEF;MASC;N;SG ADV ADV ADV ADV _
for den skjulte seg under oss og da trudde dei tyskarane at # dei oppgav iallfall det at # at vi stod i kontakt med dei .	for den skjule seg under vi og da tru dei tyskar at # dei oppgi iallfall det at # at vi stå i kontakt med dei $.	CONJ 3;NOM;PRO;SG FIN;IND;PST;V ACC;PRO;REFL ADP 1;ACC;HUM;PL;PRO CONJ ADV FIN;IND;PST;V DET;PL DEF;MASC;N;PL CONJ _ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADV 3;NEUT;PRO;SG CONJ _ CONJ 1;HUM;NOM;PL;PRO FIN;IND;PST;V ADP INDF;MASC;N;SG ADP 3;ACC;HUM;PL;PRO _
den stod ved det var så berre lite meieri .	den stå ved det vere så berre liten meieri $.	3;NOM;PRO;SG FIN;IND;PST;V ADP 3;NEUT;PRO;SG FIN;IND;PST;V ADV ADV ADJ;INDF;NEUT;SG INDF;N;NEUT;SG _
ja .	ja $.	INTJ _
men det kan eg hugse # han det det var han han hadde den vadsødialekten .	men det kunne eg hugse # han det det vere han han ha den vadsødialekt $.	CONJ 3;NEUT;PRO;SG FIN;IND;PRS;V 1;HUM;NOM;PRO;SG NFIN;V _ 3;MASC;NOM;PRO;SG 3;NEUT;PRO;SG 3;NEUT;PRO;SG FIN;IND;PST;V 3;MASC;NOM;PRO;SG 3;MASC;NOM;PRO;SG FIN;IND;PST;V DET;MASC;SG DEF;MASC;N;SG _
vegen her nedmed sandvika den er gratisbygd den så å seie .	veg her nedmed sandvika den vere gratisbygge den så å seie $.	DEF;MASC;N;SG ADV ADP PROPN 3;NOM;PRO;SG FIN;IND;PRS;V ADJ;INDF;SG 3;NOM;PRO;SG ADV PART NFIN;V _
jaha # så de flytta ikkje langt når de gifta dykk ?	jaha # så de flytte ikkje lang når de gifte de $?	INTJ _ ADV 2;HUM;NOM;PL;PRO FIN;IND;PST;V NEG;PART ADJ;INDF;NEUT;SG CONJ 2;HUM;NOM;PL;PRO FIN;IND;PST;V 2;ACC;HUM;PL;PRO _
oslo # oslofolk .	oslo # oslofolk $.	PROPN _ INDF;N;NEUT;PL _
ja det var sommar .	ja det vere sommar $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V INDF;MASC;N;SG _
kva slags fiske var det ?	kva slags fiske vere det $?	DET N;NEUT INDF;N;NEUT;SG FIN;IND;PST;V 3;NEUT;PRO;SG _
også var det ei dame # og ein også guten hennar dei var sånne passasjerar skulle nå følge med oss frå # frå tromsø .	også vere det ein dame # og ein også gut hennar dei vere sånn passasjer skulle nå følge med vi frå # frå tromsø $.	ADV FIN;IND;PST;V 3;NEUT;PRO;SG DET;FEM;SG FEM;INDF;N;SG _ CONJ DET;MASC;SG ADV DEF;MASC;N;SG MASC;PRO;SG 3;HUM;NOM;PL;PRO FIN;IND;PST;V DET;PL INDF;MASC;N;PL FIN;IND;PST;V ADV NFIN;V ADP 1;ACC;HUM;PL;PRO ADP _ ADP PROPN _
det var samlestasjonar det ja .	det vere samle-stasjon det ja $.	3;NEUT;PRO;SG FIN;IND;PST;V INDF;MASC;N;PL 3;NEUT;PRO;SG INTJ _
da måtte vi ta ho av kummen .	da måtte vi ta ho av kum $.	ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO NFIN;V 3;ACC;FEM;PRO;SG ADP DEF;MASC;N;SG _
og da sa det seg sjølv ja da måtte eg jo slutte da # fiska litt # til i einogførti til og med einogførti .	og da seie det seg sjølv ja da måtte eg jo slutte da # fiske litt # til i einogførti til og med einogførti $.	CONJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG ACC;PRO;REFL ADV INTJ ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG ADV NFIN;V ADV _ FIN;IND;PST;V ADJ;INDF;NEUT;SG _ ADP ADP NUM;PL ADP CONJ ADP NUM;PL _
nei vi køyrte ikkje om halden vi køyrt om ørje .	nei vi køyre ikkje om halden vi køyre om ørje $.	INTJ 1;HUM;NOM;PL;PRO FIN;IND;PST;V NEG;PART ADP PROPN 1;HUM;NOM;PL;PRO V;V.PTCP ADP PROPN _
båt # .	båt # $.	INDF;MASC;N;SG _ _
da er det lenger vest ifrå berlevåg og lenger inne lenger vest der brukte dei å vere på lofoten om vintrane .	da vere det lenger vest ifrå berlevåg og lenger inne lenger vest der bruke dei å vere på lofoten om vinter $.	ADV FIN;IND;PRS;V 3;NEUT;PRO;SG ADV ADP ADP PROPN CONJ ADV ADP ADV ADP ADV FIN;IND;PST;V 3;HUM;NOM;PL;PRO PART NFIN;V ADP PROPN ADP DEF;MASC;N;PL _
var ikkje råd å gå nokon stad da ?	vere ikkje råd å gå nokon stad da $?	FIN;IND;PST;V NEG;PART INDF;N;NEUT;SG PART NFIN;V DET;MASC;SG INDF;MASC;N;SG ADV _
e du må nok gi p- to hundre tusen for ein men den er større da .	e du måtte nok gi p- to hundre tusen for ein men den vere stor da $.	_ 2;HUM;NOM;PRO;SG FIN;IND;PRS;V ADV NFIN;V _ NUM;PL NUM;PL NUM;PL ADP ACC;HUM;PRO;SG CONJ 3;NOM;PRO;SG FIN;IND;PRS;V ADJ ADV _
å da gjekk da ja dei der # seinare åra .	å da gå da ja dei der # sein år $.	INTJ ADV FIN;IND;PST;V ADV INTJ DET;PL ADV _ ADJ DEF;N;NEUT;PL _
jaså .	jaså $.	INTJ _
såg aldri noko til dei ?	sjå aldri noko til dei $?	FIN;IND;PST;V ADV 3;ACC;NEUT;PRO;SG ADP 3;ACC;HUM;PL;PRO _
nei nei nei nei ja i hammerfest da seier dei ## nei kva det er dei seier der ?	nei nei nei nei ja i hammerfest da seie dei ## nei kva det vere dei seie der $?	INTJ INTJ INTJ INTJ INTJ ADP PROPN ADV FIN;IND;PRS;V 3;HUM;NOM;PL;PRO _ INTJ PRO 3;NEUT;PRO;SG FIN;IND;PRS;V 3;HUM;NOM;PL;PRO FIN;IND;PRS;V ADV _
ja vel .	ja vel $.	INTJ ADV _
hadde du nokon uhell på bilen da # på vegen # nokon alvorlege uhell ?	ha du nokon uhell på bil da # på veg # nokon alvorleg uhell $?	FIN;IND;PST;V 2;HUM;NOM;PRO;SG DET;PL INDF;N;NEUT;PL ADP DEF;MASC;N;SG ADV _ ADP DEF;MASC;N;SG _ DET;PL ADJ;PL INDF;N;NEUT;PL _
ja # der sat to baki og .	ja # der sitte to baki og $.	INTJ _ ADV FIN;IND;PST;V NUM;PL ADP CONJ _
ja .	ja $.	INTJ _
jaha .	jaha $.	INTJ _
ja vel ja .	ja vel ja $.	INTJ ADV INTJ _
ja visst ja .	ja visst ja $.	INTJ ADV INTJ _
jaså .	jaså $.	ADV _
og det høvde slik til at # at før dei andre båtane dei var liksom # plaga for å få bruket til seg i uvêr og dårleg vêr men .	og det høve slik til at # at før dei annan båt dei vere liksom # plage for å få bruk til seg i uvêr og dårleg vêr men $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV ADP CONJ _ CONJ ADP DET;PL DET;PL DEF;MASC;N;PL 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADV _ FIN;IND;PST;V CONJ PART NFIN;V DEF;N;NEUT;SG ADP ACC;PRO;REFL ADP INDF;N;NEUT;SG CONJ ADJ;INDF;NEUT;SG INDF;N;NEUT;SG CONJ _
dei søri brekke dei fekk det såleis at dei # fekk pengane igjen # når vegen var ferdig .	dei søri brekke dei få det såleis at dei # få peng igjen # når veg vere ferdig $.	3;HUM;NOM;PL;PRO ADP PROPN 3;HUM;NOM;PL;PRO FIN;IND;PST;V 3;NEUT;PRO;SG ADV CONJ 3;HUM;NOM;PL;PRO _ FIN;IND;PST;V DEF;MASC;N;PL ADV _ CONJ DEF;MASC;N;SG FIN;IND;PST;V ADJ;INDF;SG _
gjera rein med ?	gjere rein med $?	NFIN;V ADJ;INDF;SG ADP _
jaha .	jaha $.	INTJ _
noko .	noko $.	3;NEUT;NOM;PRO;SG _
ja .	ja $.	INTJ _
den det var noko fæl dritt å køyre med men e # men det gjekk jo bra for eg # å så var det billig .	den det vere noko fæl dritt å køyre med men e # men det gå jo bra for eg # å så vere det billig $.	3;NOM;PRO;SG 3;NEUT;PRO;SG FIN;IND;PST;V DET;MASC;SG ADJ;INDF;SG INDF;MASC;N;SG PART NFIN;V ADP CONJ _ _ CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV ADJ;INDF;NEUT;SG CONJ 1;HUM;NOM;PRO;SG _ INTJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADJ;INDF;NEUT;SG _
nei .	nei $.	INTJ _
og sidan den tid har eg fiske sidan også # forskjellig # .	og sidan den tid ha eg fiske sidan også # forskjellig # $.	CONJ ADP DET;FEM;SG FEM;INDF;N;SG FIN;IND;PRS;V 1;HUM;NOM;PRO;SG NFIN;V ADV ADV _ ADJ;INDF;NEUT;SG _ _
ja visst .	ja visst $.	INTJ ADV _
nei .	nei $.	INTJ _
den er så å seie gratisbygd .	den vere så å seie gratisbygge $.	3;NOM;PRO;SG FIN;IND;PRS;V ADV PART NFIN;V ADJ;INDF;SG _
og viss du ikkje det kunne så fekk du ikkje plass om vinteren .	og viss du ikkje det kunne så få du ikkje plass om vinter $.	CONJ CONJ 2;HUM;NOM;PRO;SG NEG;PART 3;NEUT;PRO;SG FIN;IND;PST;V ADV FIN;IND;PST;V 2;HUM;NOM;PRO;SG NEG;PART INDF;MASC;N;SG ADP DEF;MASC;N;SG _
å det var billig # den tid .	å det vere billig # den tid $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG _ DET;FEM;SG FEM;INDF;N;SG _
for da stod dei med ein spake på rullen bak da .	for da stå dei med ein spak på rull bak da $.	CONJ ADV FIN;IND;PST;V 3;HUM;NOM;PL;PRO ADP DET;MASC;SG INDF;MASC;N;SG ADP DEF;MASC;N;SG ADV ADV _
så det gjekk fint .	så det gå fin $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG _
det var # ja det var ein på den måten var det # det var e det var ingenting i vegen for at # at # den eine husmora kunne ta på seg .	det vere # ja det vere ein på den måte vere det # det vere e det vere ingenting i veg for at # at # den eine husmor kunne ta på seg $.	3;NEUT;PRO;SG FIN;IND;PST;V _ INTJ 3;NEUT;PRO;SG FIN;IND;PST;V DET;MASC;SG ADP DET;MASC;SG DEF;MASC;N;SG FIN;IND;PST;V 3;NEUT;PRO;SG _ 3;NEUT;PRO;SG FIN;IND;PST;V _ 3;NEUT;PRO;SG FIN;IND;PST;V NEG;NOM;PRO;SG ADP DEF;MASC;N;SG CONJ CONJ _ CONJ _ DET;FEM;SG DEF;NUM;SG DEF;FEM;N;SG FIN;IND;PST;V NFIN;V ADP ACC;PRO;REFL _
du har altså drive med fiske i # i gamle dagar ?	du ha altså drive med fiske i # i gammal dag $?	2;HUM;NOM;PRO;SG FIN;IND;PRS;V ADV V;V.PTCP ADP INDF;N;NEUT;PL ADP _ ADP ADJ;PL INDF;MASC;N;PL _
ja .	ja $.	INTJ _
var det hestekjøring .	vere det hestekjøring $.	FIN;IND;PST;V 3;NEUT;PRO;SG FEM;INDF;N;SG _
folk i oslo ?	folk i oslo $?	INDF;N;NEUT;PL ADP PROPN _
eg eg blei aldri tatt eg personleg var vel aldri tatt men e dei som var med meg .	eg eg bli aldri ta eg personleg vere vel aldri ta men e dei som vere med eg $.	1;HUM;NOM;PRO;SG 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADV V;V.PTCP 1;HUM;NOM;PRO;SG ADJ;INDF;NEUT;SG FIN;IND;PST;V ADV ADV V;V.PTCP CONJ _ 3;HUM;NOM;PL;PRO PRO FIN;IND;PST;V ADP 1;ACC;HUM;PRO;SG _
så det blir mykje mas om valet eller ?	så det bli mykje mas om val eller $?	CONJ 3;NEUT;PRO;SG FIN;IND;PRS;V ADJ;INDF;NEUT;SG INDF;N;NEUT;PL ADP DEF;N;NEUT;SG CONJ _
ja da dansa dei jo ved den gamle måten så det var jo mykje k- # moroare d- vere i hærlandssalen da enn .	ja da danse dei jo ved den gammal måte så det vere jo mykje k- # moro d- vere i hærlandssalen da enn $.	INTJ ADV FIN;IND;PST;V 3;HUM;NOM;PL;PRO ADV ADP DET;MASC;SG ADJ;DEF;SG DEF;MASC;N;SG CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV ADJ;INDF;NEUT;SG _ _ ADJ _ NFIN;V ADP PROPN ADV ADP _
du og kona de har altså kjent kvarandre bestandig ?	du og kone de ha altså kjenne kvarandre bestandig $?	2;HUM;NOM;PRO;SG CONJ DEF;FEM;N;SG 2;HUM;NOM;PL;PRO FIN;IND;PRS;V ADV V;V.PTCP ACC;HUM;PL;PRO ADJ;INDF;NEUT;SG _
ja da vi sveivde på spelet da så lenge .	ja da vi sveive på spel da så lenge $.	INTJ ADV 1;HUM;NOM;PL;PRO FIN;IND;PST;V ADP DEF;N;NEUT;SG ADV ADV ADV _
ja # vi fiska # ja .	ja # vi fiske # ja $.	INTJ _ 1;HUM;NOM;PL;PRO FIN;IND;PST;V _ INTJ _
når du ikkje køyrde mjølk ?	når du ikkje køyre mjølk $?	ADV 2;HUM;NOM;PRO;SG NEG;PART FIN;IND;PST;V FEM;INDF;N;SG _
for da kom eg ikkje lenger .	for da komme eg ikkje lang $.	CONJ ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG NEG;PART ADJ _
