в ингушетии нет улицы хучбарова , и многих достойных вайнахов .	в ингушетия нет улица хучбаров , и много достойный вайнах .	ADP ESS;FEM;INAN;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;GEN;INAN;N;SG ANIM;GEN;MASC;PROPN;SG _ CONJ GEN;NUM ADJ;GEN;PL GEN;INAN;MASC;N;PL _
я был охранником на стройке и довольно часто встречался нос к носу с любителями поживиться , то кислородным баллоном , то крановым электрокабелем , то просто проводами , при этом учтивости со стороны воров и грабителей я не наблюдал .	я быть охранник на стройка и довольно часто встречать нос к нос с любитель поживиться , то кислородной баллон , то крановый электрокабель , то просто провод , при это учтивость со сторона вор и грабитель я не наблюдать .	1;NOM;PRO;SG ACT;FIN;IND;IPFV;MASC;PST;SG;V ANIM;INS;MASC;N;SG ADP ESS;FEM;INAN;N;SG CONJ ADV ADV FIN;IND;IPFV;MASC;PASS;PST;SG;V INAN;MASC;N;NOM;SG ADP DAT;INAN;MASC;N;SG ADP ANIM;INS;MASC;N;PL MID;NFIN;PFV;V _ CONJ ADJ;INS;MASC;SG INAN;INS;MASC;N;SG _ CONJ ADJ;INS;MASC;SG INAN;INS;MASC;N;SG _ CONJ PART INAN;INS;MASC;N;PL _ ADP ESS;INAN;NEUT;PRO;SG FEM;GEN;INAN;N;SG ADP FEM;GEN;INAN;N;SG ANIM;GEN;MASC;N;PL CONJ ANIM;GEN;MASC;N;PL 1;NOM;PRO;SG NEG;PART ACT;FIN;IND;IPFV;MASC;PST;SG;V _
некую " гражданскую силу " раньше на всех дебатах представлял хач .	некий " гражданский сила " раньше на весь дебаты представлять хач .	ACC;DET;FEM;SG _ ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _ ADV;CMPR ADP DET;ESS;PL ESS;INAN;MASC;N;PL ACT;FIN;IND;IPFV;MASC;PST;SG;V ANIM;MASC;N;NOM;SG _
утырки , родившиеся после войны , перед отъездом из совка , купившие в военторге , полковничьи погоны , обвешанные побрякушками , типа " 17.5 лет службы в вс " или " ветеран стройбата " .	утырок , родиться после война , перед отъезд из совок , купить в военторг , полковничий погоны , обвешать побрякушка , типа " 17.5 год служба в вс " или " ветеран стройбат " .	ANIM;MASC;N;NOM;PL _ MID;NOM;PFV;PL;PST;V;V.PTCP ADP FEM;GEN;INAN;N;SG _ ADP INAN;INS;MASC;N;SG ADP GEN;INAN;MASC;N;SG _ ACT;NOM;PFV;PL;PST;V;V.PTCP ADP ESS;INAN;MASC;PROPN;SG _ ACC;ADJ;INAN;PL ACC;INAN;MASC;N;PL _ NOM;PASS;PFV;PL;PST;V;V.PTCP FEM;INAN;INS;N;PL _ ADP _ NUM GEN;INAN;MASC;N;PL FEM;GEN;INAN;N;SG ADP ESS;FEM;INAN;PL;PROPN _ CONJ _ ANIM;MASC;N;NOM;SG GEN;INAN;MASC;N;SG _ _
мнение одного твоего " западноберлинца " ни о чем не говорит .	мнение один твой " западноберлинц " ни о что не говорить .	INAN;N;NEUT;NOM;SG DET;GEN;MASC;SG DET;GEN;MASC;SG _ GEN;INAN;MASC;N;SG _ CONJ;NEG ADP ESS;INAN;NEUT;PRO;SG NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V _
тотальный похрен и принципиальный нахрен .	тотальный похрен и принципиальный нахрен .	ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG CONJ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG _
оба мальчика разрыдались .	оба мальчик разрыдаться .	MASC;NOM;NUM ANIM;GEN;MASC;N;SG FIN;IND;MID;PFV;PL;PST;V _
@xxxxxx у нас говорят , лучше быть головой мухи , чем жопой слона .	@xxxxxx у мы говорить , хороший быть голова муха , чем жопа слон .	_ ADP 1;GEN;PL;PRO 3;ACT;FIN;IND;IPFV;PL;PRS;V _ ADJ;CMPR ACT;IPFV;NFIN;V FEM;INAN;INS;N;SG ANIM;FEM;GEN;N;SG _ CONJ FEM;INAN;INS;N;SG ANIM;GEN;MASC;N;SG _
спасибо за то , что вы своей травлей убили моего отчима .	спасибо за то , что вы свой травля убить мой отчим .	INAN;N;NEUT;NOM;SG ADP ACC;INAN;NEUT;PRO;SG _ CONJ 2;NOM;PL;PRO DET;FEM;INS;SG FEM;INAN;INS;N;SG ACT;FIN;IND;PFV;PL;PST;V DET;GEN;MASC;SG ACC;ANIM;MASC;N;SG _
23.04.2015 г на левой фотографии такое ощущение как будто я чуть толще , но это так кажеться разница между снимками буквально 3 - 4 дня !	23.04.2015 год на левый фотография такой ощущение как будто я чуть толстый , но это так казаться разница между снимок буквально 3 - 4 день !	ADJ N ADP ADJ;ESS;FEM;SG ESS;FEM;INAN;N;SG DET;NEUT;NOM;SG INAN;N;NEUT;NOM;SG CONJ PART 1;NOM;PRO;SG ADV ADJ;CMPR _ CONJ INAN;NEUT;NOM;PRO;SG ADV IPFV;MID;NFIN;V FEM;INAN;N;NOM;SG ADP INAN;INS;MASC;N;PL ADV NOM;NUM _ NOM;NUM GEN;INAN;MASC;N;SG _
мой каждый возглас , и жест , и шаг следит смешная орда .	мой каждый возглас , и жест , и шаг следить смешной орда .	ACC;DET;INAN;MASC;SG ACC;DET;INAN;MASC;SG ACC;INAN;MASC;N;SG _ CONJ ACC;INAN;MASC;N;SG _ CONJ ACC;INAN;MASC;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG _
засыпать с рукой в его руке ...	засыпать с рука в он рука ...	ACT;IPFV;NFIN;V ADP FEM;INAN;INS;N;SG ADP 3;GEN;MASC;PRO;SG ESS;FEM;INAN;N;SG _
ответила : - как и ты мне !	ответить : - как и ты я !	ACT;FEM;FIN;IND;PFV;PST;SG;V _ _ CONJ PART 2;NOM;PRO;SG 1;DAT;PRO;SG _
вы посмотрите ведь их представитель даже в союзе офицеров заседает .	вы посмотреть ведь их представитель даже в союз офицер заседавать .	2;NOM;PL;PRO 2;ACT;FIN;IMP;PFV;PL;V PART DET ANIM;MASC;N;NOM;SG PART ADP ESS;INAN;MASC;N;SG ANIM;GEN;MASC;N;PL 3;ACT;FIN;IND;IPFV;PRS;SG;V _
выгляни из города , там снаружи замечательно	выглянуть из город , там снаружи замечательно	2;ACT;FIN;IMP;PFV;SG;V ADP GEN;INAN;MASC;N;SG _ ADV ADV ADV
👑 2 место - новенький iphone 7 + фирменный чехол от палаты ;)	👑 2 место - новенький iphone 7 + фирменный чехол от палата ;)	_ NUM INAN;N;NEUT;NOM;SG _ ADJ;MASC;NOM;SG PROPN NUM _ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG ADP FEM;GEN;INAN;N;SG _
первые проявления шейного остеохондроза — боли в спине , головные боли , головокружение , " мушки " в глазах , ухудшение слуха или шумы , а также покачивание при ходьбе в результате нарушения координации .	первый проявление шейный остеохондроз — боль в спина , головной боль , головокружение , " мушка " в глаз , ухудшение слух или шум , а также покачивание при ходьба в результат нарушение координация .	ADJ;NOM;PL INAN;N;NEUT;NOM;PL ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ FEM;GEN;INAN;N;SG ADP ESS;FEM;INAN;N;SG _ ADJ;NOM;PL FEM;INAN;N;NOM;PL _ INAN;N;NEUT;NOM;SG _ _ ANIM;FEM;N;NOM;PL _ ADP ESS;INAN;MASC;N;PL _ INAN;N;NEUT;NOM;SG GEN;INAN;MASC;N;SG CONJ FEM;GEN;INAN;N;SG _ CONJ ADV INAN;N;NEUT;NOM;SG ADP ESS;FEM;INAN;N;SG ADP ESS;INAN;MASC;N;SG GEN;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG _
так отдай им жизнь , не держись , не жмись , не страшись ножа , топора !	так отдать они жизнь , не держаться , не жаться , не страшиться нож , топор !	ADV 2;ACT;FIN;IMP;PFV;SG;V 3;DAT;PL;PRO ACC;FEM;INAN;N;SG _ NEG;PART 2;FIN;IMP;IPFV;MID;SG;V _ NEG;PART 2;FIN;IMP;IPFV;MID;SG;V _ NEG;PART 2;FIN;IMP;IPFV;MID;SG;V GEN;INAN;MASC;N;SG _ GEN;INAN;MASC;N;SG _
как некоторые говорят - но это наполняет реальный сектор экономики - и моя зарплата с 14 года выросла в 3 раза - конечно она не успевает за темпами инфляции и курсом - но 9 тыс в мес - не 3 !	как некоторый говорить - но это наполнять реальный сектор экономика - и мой зарплата с 14 год вырасти в 3 раз - конечно она не успевать за темп инфляция и курс - но 9 тысяча в мес - не 3 !	CONJ DET;NOM;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V _ CONJ INAN;NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG FEM;GEN;INAN;N;SG _ CONJ DET;FEM;NOM;SG FEM;INAN;N;NOM;SG ADP ADJ GEN;INAN;MASC;N;SG ACT;FEM;FIN;IND;PFV;PST;SG;V ADP NUM GEN;INAN;MASC;N;SG _ ADV 3;FEM;NOM;PRO;SG NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP INAN;INS;MASC;N;PL FEM;GEN;INAN;N;SG CONJ INAN;INS;MASC;N;SG _ CONJ NUM FEM;GEN;INAN;NUM;PL ADP ACC;INAN;MASC;N;SG _ NEG;PART NUM _
- один стакан воды .	- один стакан вода .	_ MASC;NOM;NUM INAN;MASC;N;NOM;SG FEM;GEN;INAN;N;SG _
поверхность цукатов высыхает и они не липнут к рукам .	поверхность цукат высыхать и они не липнуть к рука .	FEM;INAN;N;NOM;SG GEN;INAN;MASC;N;PL 3;ACT;FIN;IND;IPFV;PRS;SG;V CONJ 3;NOM;PL;PRO NEG;PART 3;ACT;FIN;FUT;IND;PFV;PL;V ADP DAT;FEM;INAN;N;PL _
пошёл нах-й !!!	пойти нахуй !!!	ACT;FIN;IND;MASC;PFV;PST;SG;V ADV _
кот у которого на спине кот )))	кот у который на спина кот )))	ANIM;MASC;N;NOM;SG ADP GEN;PRO ADP ESS;FEM;INAN;N;SG ANIM;MASC;N;NOM;SG _
слабунова возглавила список " яблока " на выборах в парламенткарелии	слабунова возглавить список " яблоко " на выборы в парламент+карелия	ANIM;FEM;NOM;PROPN;SG ACT;FEM;FIN;IND;PFV;PST;SG;V ACC;INAN;MASC;N;SG _ GEN;INAN;NEUT;PROPN;SG _ ADP ESS;INAN;MASC;N;PL ADP ACC;INAN;MASC;N;SG
но свидодурни не дают людям жить !	но свидодурень не давать человек жить !	CONJ ANIM;MASC;N;NOM;PL NEG;PART 3;ACT;FIN;IND;IPFV;PL;PRS;V ANIM;DAT;MASC;N;PL ACT;IPFV;NFIN;V _
не особо впечатлило , но , в общем , ничего , терпимо .	не особо впечатлить , но , в общий , ничего , терпимый .	NEG;PART ADV ACT;FIN;IND;NEUT;PFV;PST;SG;V _ CONJ _ ADP ADJ;ESS;NEUT;SG _ ADV _ ADJ;NEUT;SG _
если власть действует против горожан , то возникает вопрос о ее заинтересованности	если власть действовать против горожанин , то возникать вопрос о ее заинтересованность	CONJ FEM;INAN;N;NOM;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP ANIM;GEN;MASC;N;PL _ CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V INAN;MASC;N;NOM;SG ADP DET ESS;FEM;INAN;N;SG
@xxxxxx , скажи им , чтобы мне на сало отсыпали чуть-чуть .	@xxxxxx , сказать они , чтобы я на сало отсыпать чуть-чуть .	_ _ 2;ACT;FIN;IMP;PFV;SG;V 3;DAT;PL;PRO _ COND;CONJ 1;DAT;PRO;SG ADP ACC;INAN;N;NEUT;SG ACT;FIN;IND;IPFV;PL;PST;V ADV _
у меня детей двое .	у я ребенок двое .	ADP 1;GEN;PRO;SG ANIM;GEN;MASC;N;PL NOM;NUM _
+79051950942 нужен донор 3 " - " .	+79051950942 нужный донор 3 " - " .	_ ADJ;MASC;SG ANIM;MASC;N;NOM;SG NUM _ _ _ _
и как же больно было нам ,	и как же больной быть мы ,	CONJ ADV PART ADJ;NEUT;SG ACT;FIN;IND;IPFV;NEUT;PST;SG;V 1;DAT;PL;PRO _
а если нет - это ваша личная беда и ничья больше - вы где-то давно застряли и перестали развиваться и думать .	а если нет - это ваш личный беда и ничья больше - вы где-то давно застрять и перестать развиваться и думать .	CONJ CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V _ PART DET;FEM;NOM;SG ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG CONJ FEM;INAN;N;NOM;SG ADV;CMPR _ 2;NOM;PL;PRO ADV ADV ACT;FIN;IND;PFV;PL;PST;V CONJ ACT;FIN;IND;PFV;PL;PST;V IPFV;MID;NFIN;V CONJ ACT;IPFV;NFIN;V _
рубашки для мальчиков - являются основой гардероба каждого юного джентльмена	рубашка для мальчик - являться основа гардероб каждый юный джентльмен	FEM;INAN;N;NOM;PL ADP ANIM;GEN;MASC;N;PL _ 3;FIN;IND;IPFV;MID;PL;PRS;V FEM;INAN;INS;N;SG GEN;INAN;MASC;N;SG DET;GEN;MASC;SG ADJ;GEN;MASC;SG ANIM;GEN;MASC;N;SG
после окончания массажа , обтирайте шею влажной горячей тканью .	после окончание массаж , обтирать шея влажный горячий ткань .	ADP GEN;INAN;N;NEUT;SG GEN;INAN;MASC;N;SG _ 2;ACT;FIN;IMP;IPFV;PL;V ACC;FEM;INAN;N;SG ADJ;FEM;INS;SG ADJ;FEM;INS;SG FEM;INAN;INS;N;SG _
возрадуйтесь с ним , как это делаю я !	возрадоваться с он , как это делать я !	2;FIN;IMP;MID;PFV;PL;V ADP 3;INS;MASC;PRO;SG _ CONJ ACC;INAN;NEUT;PRO;SG 1;ACT;FIN;IND;IPFV;PRS;SG;V 1;NOM;PRO;SG _
на одной из площадок сама побывала и увидела - люди в глубинке истосковались без общения на столь высоком уровне , и вопросы сыпятся самые разнообразные , и никто не дирижирует , не затыкавает рот , заметила , что сначала мероприятия аудитория настороженная , напряженная , а , как только доходит до ответов и. о. на вопросы , сразу оживление , интерес и слышу отклики - " а ведь глубоко копает " , " а откуда он знает про нашу тьмутаракань " , " когда успел , ведь недавно же в области " и т. п.	на один из площадка сам побывать и увидеть - человек в глубинка истосковать без общение на столь высокий уровень , и вопрос сыпаться самый разнообразный , и никто не дирижировать , не затыкавать рот , заметить , что с+начало мероприятие аудитория настороженный , напряженный , а , как только доходить до ответ исполнять обязанность на вопрос , сразу оживление , интерес и слышать отклик - " а ведь глубоко копать " , " а откуда он знать про наш тьмутаракань " , " когда успеть , ведь недавно же в область " и то подобный	ADP ESS;FEM;NUM ADP FEM;GEN;INAN;N;PL ADJ;FEM;NOM;SG ACT;FEM;FIN;IND;IPFV;PST;SG;V CONJ ACT;FEM;FIN;IND;IPFV;PST;SG;V _ ANIM;MASC;N;NOM;PL ADP ESS;FEM;INAN;N;SG FIN;IND;IPFV;PASS;PL;PST;V ADP GEN;INAN;N;NEUT;SG ADP ADV ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG _ CONJ INAN;MASC;N;NOM;PL 3;FIN;IND;IPFV;MID;PL;PRS;V ADJ;NOM;PL ADJ;NOM;PL _ CONJ NOM;PRO NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V _ NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V ACC;INAN;MASC;N;SG _ ACT;FEM;FIN;IND;PFV;PST;SG;V _ CONJ GEN;INAN;N;NEUT;SG INAN;N;NEUT;NOM;PL FEM;INAN;N;NOM;SG ADJ;FEM;NOM;SG _ ADJ;FEM;NOM;SG _ CONJ _ CONJ PART 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP GEN;INAN;MASC;N;PL V N ADP ACC;INAN;MASC;N;PL _ ADV INAN;N;NEUT;NOM;SG _ INAN;MASC;N;NOM;SG CONJ 1;ACT;FIN;IND;IPFV;PRS;SG;V ACC;INAN;MASC;N;SG _ _ CONJ PART ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V _ _ _ CONJ ADV 3;MASC;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP ACC;DET;FEM;SG ACC;FEM;INAN;N;SG _ _ _ ADV ACT;FIN;IND;MASC;PFV;PST;SG;V _ CONJ ADV PART ADP ESS;FEM;INAN;N;SG _ CONJ PRO ADJ
17	17	NUM
@xxxxxx ну да , подбирают на основе тем и фоловеров друзей .	@xxxxxx ну да , подбирать на основа тема и фоловер друг .	_ PART PART _ 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP ESS;FEM;INAN;N;SG FEM;GEN;INAN;N;PL CONJ GEN;INAN;MASC;N;PL ANIM;GEN;MASC;N;PL _
буржуй от кпрф вороненков кошмарит бабушек фонтанами кадырова	буржуй от кпрф вороненков кошмарить бабушка фонтан кадыров	ANIM;MASC;N;NOM;SG ADP FEM;GEN;INAN;PROPN;SG ANIM;MASC;NOM;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACC;ANIM;FEM;N;PL INAN;INS;MASC;N;PL ANIM;GEN;MASC;PROPN;SG
путин совсем не давно только сказал что не было государственности у казахов ))	путин совсем не давно только сказать что не быть государственность у казах ))	ANIM;MASC;NOM;PROPN;SG ADV NEG;PART ADV PART ACT;FIN;IND;MASC;PFV;PST;SG;V ACC;INAN;NEUT;PRO;SG NEG;PART ACT;FIN;IND;IPFV;NEUT;PST;SG;V FEM;GEN;INAN;N;SG ADP ANIM;GEN;MASC;N;PL _
даже я эти основания вижу , @xxxxxx .	даже я этот основание видеть , @xxxxxx .	PART 1;NOM;PRO;SG DET;NOM;PL ACC;INAN;N;NEUT;PL 1;ACT;FIN;IND;IPFV;PRS;SG;V _ _ _
