« 11 » , omkadering van de belgische voetbalcompetitie voor belgacom tv ( 2005- ? )	« 11 » , omkadering van de belgisch voetbalcompetitie voor belgacom tv ( 2005- ? )	_ NUM _ _ MASC+FEM;N;SG ADP DEF;DET ADJ MASC+FEM;N;SG ADP NEUT;PROPN;SG MASC+FEM;N;SG _ _ _ _
in 1934 krijgt hij de internationale erkenning ten volle , bij zijn deelname aan de " biënnale van venetië " .	in 1934 krijgen hij de internationaal erkenning te vol , bij zijn deelname aan de " biënnale van venetië " .	ADP NUM FIN;PRS;SG;V 3;NOM;PRO DEF;DET ADJ MASC+FEM;N;SG ADP ADJ _ ADP 3;PRO MASC+FEM;N;SG ADP DEF;DET _ PROPN PROPN PROPN _ _
eerste kamerlid : hendrik ten hoeve .	één kamerlid : hendrik ten hoeve .	ADJ N;NEUT;SG _ PROPN PROPN PROPN _
in de jaren '80 zorgt de kwestie voeren en de plaatsing van amerikaanse kernraketten op belgisch grondgebied voor beroering .	in de jaar '80 zorgen de kwestie voeren en de plaatsing van amerikaans kernraket op belgisch grondgebied voor beroering .	ADP DEF;DET N;PL NUM FIN;PRS;SG;V DEF;DET MASC+FEM;N;SG NEUT;PROPN;SG CONJ DEF;DET MASC+FEM;N;SG ADP ADJ N;PL ADP ADJ N;NEUT;SG ADP MASC+FEM;N;SG _
brussel heeft zoals hierboven als blijkt veel rechtstreekse internationale treinverbindingen .	brussel hebben zoals hierboven al blijken veel rechtstreeks internationaal treinverbinding .	NEUT;PROPN;SG FIN;PRS;SG;V CONJ ADV ADV FIN;PRS;SG;V PRO ADJ ADJ N;PL _
lijsttrekker voor de tweede kamerverkiezingen van 2006 is alexander pechtold .	lijsttrekker voor de twee kamerverkiezing van 2006 zijn alexander pechtold .	MASC+FEM;N;SG ADP DEF;DET ADJ N;PL ADP NUM FIN;PRS;SG;V PROPN PROPN _
d66 ging de oppositie in , maar bij de verkiezingen van 2003 zakte de partij verder naar 6 zetels .	d66 gaan de oppositie in , maar bij de verkiezing van 2003 zakken de partij ver naar 6 zetel .	MASC+FEM;PROPN;SG FIN;PST;SG;V DEF;DET MASC+FEM;N;SG ADP _ CONJ ADP DEF;DET N;PL ADP NUM FIN;PST;SG;V DEF;DET MASC+FEM;N;SG ADJ;CMPR ADP NUM N;PL _
www.comicbase.nl	www.comicbase.nl	_
biografie	biografie	MASC+FEM;N;SG
paul otlet	paul otlet	PROPN PROPN
de nekkerhal met zijn beurzen , festivals , rommelmarkten , concerten . http://www.nekkerhal.be	de nekkerhal met zijn beurs , festival , rommelmarkt , concert . http://www.nekkerhal.be	DEF;DET MASC+FEM;PROPN;SG ADP 3;PRO N;PL _ N;PL _ N;PL _ N;PL _ _
christen-democratisch en vlaams	christen-democratisch en vlaams	ADJ CONJ ADJ
speakeasy comics	speakeasy comics	PROPN PROPN
de niet vergistbare suikers zorgen uiteindelijk mede voor de smaak van het bier .	de niet vergistbaar suiker zorgen uiteindelijk mede voor de smaak van het bier .	DEF;DET ADV ADJ N;PL FIN;PL;PRS;V ADJ ADV ADP DEF;DET MASC+FEM;N;SG ADP DEF;DET N;NEUT;SG _
de rivier ontspringt in de bauxietrijke heuvelrug timan in de deelrepubliek komi , stroomt in noordwestelijke richting en bereikt de witte zee bij de stad die dezelfde naam draagt als de rivier : mezen , in het oblast archangelsk .	de rivier ontspringen in de bauxietrijk heuvelrug timan in de deelrepubliek komi , stromen in noordwestelijk richting en bereiken de wit zee bij de stad die dezelfde naam dragen als de rivier : mezen , in het oblast archangelsk .	DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V ADP DEF;DET ADJ MASC+FEM;N;SG MASC+FEM;PROPN;SG ADP DEF;DET MASC+FEM;N;SG MASC+FEM;PROPN;SG _ FIN;PRS;SG;V ADP ADJ MASC+FEM;N;SG CONJ FIN;PRS;SG;V DEF;DET ADJ MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG PRO ADJ MASC+FEM;N;SG FIN;PRS;SG;V ADP DEF;DET MASC+FEM;N;SG _ MASC+FEM;PROPN;SG _ ADP DEF;DET N;NEUT;SG NEUT;PROPN;SG _
de vld was een rechts-liberale partij .	de vld zijn een rechts-liberaal partij .	DEF;DET MASC+FEM;PROPN;SG FIN;PST;SG;V DET;INDF ADJ MASC+FEM;N;SG _
de klankentapper	de klankentapper	DEF;DET MASC+FEM;N;SG
voor meer info over de personages : volg de links .	voor veel info over de personage : volgen de link .	ADP DET MASC+FEM;N;SG ADP DEF;DET N;PL _ FIN;PRS;SG;V DEF;DET N;PL _
departement onderwijs	departement onderwijs	N;NEUT;SG N;NEUT;SG
op de website van suske en wiske op het www wordt bijgehouden hoe de albums worden gewaardeerd .	op de website van suske en wiske op het www worden bijhouden hoe de album worden waarderen .	ADP DEF;DET MASC+FEM;N;SG ADP PROPN PROPN PROPN ADP DEF;DET N;NEUT;SG FIN;PRS;SG;V V;V.PTCP ADV DEF;DET N;PL FIN;PL;PRS;V V;V.PTCP _
colruyt - distributie	colruyt - distributie	MASC+FEM;PROPN;SG _ MASC+FEM;N;SG
ook zullen er een heleboel nieuwe programma's worden uitgezonden .	ook zullen er een heleboel nieuw programma worden uitzenden .	ADV FIN;PL;PRS;V ADV DET;INDF MASC+FEM;N;SG ADJ N;PL NFIN;V V;V.PTCP _
het onderzoek	het onderzoek	DEF;DET N;NEUT;SG
1913 - « villa des roses » , roman	1913 - « villa des roses » , roman	NUM _ _ PROPN PROPN PROPN _ _ MASC+FEM;N;SG
kritiek binnen en buiten de partij	kritiek binnen en buiten de partij	MASC+FEM;N;SG ADP CONJ ADP DEF;DET MASC+FEM;N;SG
de nacht van 17 op 18 juni regende het nog altijd ; de lössachtige grond veranderde in bruine modder .	de nacht van 17 op 18 juni regenen het nog altijd ; de lössachtig grond veranderen in bruin modder .	DEF;DET MASC+FEM;N;SG ADP NUM ADP NUM MASC+FEM;PROPN;SG FIN;PST;SG;V 3;PRO ADV ADV _ DEF;DET ADJ MASC+FEM;N;SG FIN;PST;SG;V ADP ADJ MASC+FEM;N;SG _
in 1990 wordt de abortuswet tegen de wil van de cvp goedgekeurd .	in 1990 worden de abortuswet tegen de wil van de cvp goedkeuren .	ADP NUM FIN;PRS;SG;V DEF;DET MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG ADP DEF;DET MASC+FEM;PROPN;SG V;V.PTCP _
d66 is lid van de liberale internationale ( li ) en van de partij van europese liberalen en democraten ( eldr ) .	d66 zijn lid van de liberaal internationaal ( li ) en van de partij van europese liberalen en democraten ( eldr ) .	MASC+FEM;PROPN;SG FIN;PRS;SG;V N;NEUT;SG ADP DEF;DET ADJ ADJ _ MASC+FEM;PROPN;SG _ CONJ ADP DEF;DET PROPN PROPN PROPN PROPN PROPN PROPN _ MASC+FEM;PROPN;SG _ _
zie : « lijst van bekende antwerpenaars »	zien : « lijst van bekend antwerpenaar »	FIN;PRS;SG;V _ _ MASC+FEM;N;SG ADP ADJ PL;PROPN _
1935 - jef moerenhout	1935 - jef moerenhout	NUM _ PROPN PROPN
taalwetten	taalwet	N;PL
cultuur	cultuur	MASC+FEM;N;SG
in de jaren '90 moet er flink worden bespaard om de maastrichtnorm te halen .	in de jaar '90 moeten er flink worden besparen om de maastrichtnorm te halen .	ADP DEF;DET N;PL NUM FIN;PRS;SG;V ADV ADJ NFIN;V V;V.PTCP ADP DEF;DET MASC+FEM;PROPN;SG ADP NFIN;V _
in suske en wiske werden zelfs de namen van enkele hoofdpersonages veranderd : tante sidonie werd sidonia en wiske's pop schabolleke ( in sommige albums schalulleke ) werd schanulleke .	in suske en wiske worden zelfs de naam van enkel hoofdpersonage veranderen : tante sidonie worden sidonia en wiske pop schabolleke ( in sommig album schalulleke ) worden schanulleke .	ADP PROPN PROPN PROPN FIN;PL;PST;V ADV DEF;DET N;PL ADP DET N;PL V;V.PTCP _ MASC+FEM;N;SG MASC+FEM;PROPN;SG FIN;PST;SG;V MASC+FEM;PROPN;SG CONJ PROPN;SG MASC+FEM;N;SG MASC+FEM;PROPN;SG _ ADP DET N;PL MASC+FEM;PROPN;SG _ FIN;PST;SG;V MASC+FEM;PROPN;SG _
h. astene ( deinze )	h. astene ( deinze )	_ NEUT;PROPN;SG _ NEUT;PROPN;SG _
sp haalde 16,7 % in 1976 .	sp halen 16,7 % in 1976 .	MASC+FEM;PROPN;SG FIN;PST;SG;V NUM _ ADP NUM _
in de finale neemt ze het op tegen de nummer 1 , lindsay davenport .	in de finale nemen ze het op tegen de nummer 1 , lindsay davenport .	ADP DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V 3;PRO 3;PRO ADP ADP DEF;DET N;NEUT;SG NUM _ PROPN PROPN _
euronext 100	euronext 100	PROPN;SG;{MASC+FEM/NEUT} NUM
het stripverhaal is alom bekend als zijnde de " negende kunstvorm " .	het stripverhaal zijn alom bekend als zijn de " negen kunstvorm " .	DEF;DET N;NEUT;SG FIN;PRS;SG;V ADV ADJ ADP V;V.PTCP DEF;DET _ ADJ MASC+FEM;N;SG _ _
laurens jan brinkhorst - staatssecretaris van buitenlandse zaken , kabinet-den uyl , minister van landbouw , natuurbeheer en visserij , kabinet-kok ii en minister van economische zaken , kabinet-balkenende ii , vanaf 30 maart 2005 tevens vice-premier	laurens jan brinkhorst - staatssecretaris van buitenlands zaak , kabinet-den uyl , minister van landbouw , natuurbeheer en visserij , kabinet-kok ii en minister van economisch zaak , kabinet-balkenende ii , vanaf 30 maart 2005 tevens vice-premier	PROPN PROPN PROPN _ MASC+FEM;N;SG ADP ADJ N;PL _ PROPN PROPN _ MASC+FEM;N;SG ADP MASC+FEM;N;SG _ N;NEUT;SG CONJ MASC+FEM;N;SG _ N;NEUT;SG PROPN CONJ MASC+FEM;N;SG ADP ADJ N;PL _ NEUT;PROPN;SG PROPN _ ADP NUM MASC+FEM;PROPN;SG NUM ADV MASC+FEM;N;SG
elke stap in dit proces is uiteindelijk van invloed op de smaak van het bier .	elk stap in dit proces zijn uiteindelijk van invloed op de smaak van het bier .	DET MASC+FEM;N;SG ADP DET N;NEUT;SG FIN;PRS;SG;V ADJ ADP MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG ADP DEF;DET N;NEUT;SG _
het ccha omvat een grote schouwburg en kleine schouwburg , een tentoonstellingsruimte , een ruim onthaal , een restaurant en een park in het centrum van hasselt .	het ccha omvatten een groot schouwburg en klein schouwburg , een tentoonstellingsruimte , een ruim onthaal , een restaurant en een park in het centrum van hasselt .	DEF;DET NEUT;PROPN;SG FIN;PRS;SG;V DET;INDF ADJ MASC+FEM;N;SG CONJ ADJ MASC+FEM;N;SG _ DET;INDF MASC+FEM;N;SG _ DET;INDF ADJ N;NEUT;SG _ DET;INDF N;NEUT;SG CONJ DET;INDF N;NEUT;SG ADP DEF;DET N;NEUT;SG ADP NEUT;PROPN;SG _
externe link	extern link	ADJ MASC+FEM;N;SG
de vroegere volkswijk " de beek " , waarvan nog er enkele opgeknapte huisjes staan , is daardoor uitgegroeid tot een tweede centrum .	de vroeg volkswijk " de beek " , waarvan nog er enkel opknappen huis staan , zijn daardoor uitgroeien tot een twee centrum .	DEF;DET ADJ;CMPR MASC+FEM;N;SG _ DEF;DET MASC+FEM;PROPN;SG _ _ ADV ADV ADV DET V;V.PTCP N;PL FIN;PL;PRS;V _ FIN;PRS;SG;V ADV V;V.PTCP ADP DET;INDF ADJ N;NEUT;SG _
de oostenrijkse nederlanden bestond nu ongeveer uit belgië ( zonder prinsdom luik ) , luxemburg en enkele aangrenzende gebieden .	de oostenrijks nederland bestaan nu ongeveer uit belgië ( zonder prinsdom luik ) , luxemburg en enkel aangrenzend gebied .	DEF;DET ADJ PL;PROPN FIN;PST;SG;V ADV ADV ADP NEUT;PROPN;SG _ ADP N;NEUT;SG NEUT;PROPN;SG _ _ NEUT;PROPN;SG CONJ DET ADJ N;PL _
vvksm akabe ( sint-niklaas )	vvksm akabe ( sint-niklaas )	PROPN PROPN _ NEUT;PROPN;SG _
restauratie integratie mechelen	restauratie integratie mechelen	MASC+FEM;N;SG MASC+FEM;N;SG NEUT;PROPN;SG
»	»	_
frans baert ( ere-senator )	frans baert ( ere-senator )	PROPN PROPN _ MASC+FEM;N;SG _
in tegenstelling tot wat engelse historici beweren , zeggen ooggetuigenverslagen dat de brigade de franse aanval zelfs enige tijd weerstaan heeft .	in tegenstelling tot wat engels historicus beweren , zeggen ooggetuigenverslag dat de brigade de frans aanval zelfs enig tijd weerstaan hebben .	ADP MASC+FEM;N;SG ADP 3;PRO ADJ N;PL FIN;PL;PRS;V _ FIN;PL;PRS;V N;PL CONJ DEF;DET MASC+FEM;N;SG DEF;DET ADJ MASC+FEM;N;SG ADV DET MASC+FEM;N;SG V;V.PTCP FIN;PRS;SG;V _
bij evenementen zoals pukkelpop 2006 of theater op de markt worden extra bussen ingezet .	bij evenement zoals pukkelpop 2006 of theater op de markt worden extra bus inzetten .	ADP N;PL CONJ NEUT;PROPN;SG NUM CONJ N;NEUT;SG ADP DEF;DET MASC+FEM;N;SG FIN;PL;PRS;V ADJ N;PL V;V.PTCP _
troelant ( sinaai )	troelant ( sinaai )	MASC+FEM;PROPN;SG _ NEUT;PROPN;SG _
de regering bestond uit een coalitie van pff , sp , en ecolo en had drie ministers :	de regering bestaan uit een coalitie van pff , sp , en ecolo en hebben drie minister :	DEF;DET MASC+FEM;N;SG FIN;PST;SG;V ADP DET;INDF MASC+FEM;N;SG ADP MASC+FEM;PROPN;SG _ MASC+FEM;PROPN;SG _ CONJ NEUT;PROPN;SG CONJ FIN;PST;SG;V NUM N;PL _
het feit dat ze tot haar dood jaarlijks ruim 60 miljoen belgische frank kreeg van de civiele lijst , maar geen activiteit ondernam , zette kwaad bloed bij sommigen .	het feit dat ze tot haar dood jaarlijks ruim 60 miljoen belgisch frank krijgen van de civiel lijst , maar geen activiteit ondernemen , zetten kwaad bloed bij sommig .	DEF;DET N;NEUT;SG CONJ 3;PRO ADP 3;PRO MASC+FEM;N;SG ADJ ADJ NUM N;NEUT;SG ADJ MASC+FEM;PROPN;SG FIN;PST;SG;V ADP DEF;DET ADJ MASC+FEM;N;SG _ CONJ DET MASC+FEM;N;SG FIN;PST;SG;V _ FIN;PST;SG;V ADJ N;NEUT;SG ADP PRO _
tijdens zijn studententijd was hij dus actief in het vlaams blok , en maakte al vlug carrière binnen de partij zelf .	tijdens zijn studententijd zijn hij dus actief in het vlaams blok , en maken al vlug carrière binnen de partij zelf .	ADP 3;PRO MASC+FEM;N;SG FIN;PST;SG;V 3;NOM;PRO ADV ADJ ADP DEF;DET PROPN PROPN _ CONJ FIN;PST;SG;V ADV ADJ MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG ADV _
1976 - marc demeyer ( )	1976 - marc demeyer ( )	NUM _ PROPN PROPN _ _
bonanza	bonanza	NEUT;PROPN;SG
antwerpen is verzusterd met de volgende steden :	antwerpen zijn verzusteren met de volgen stad :	NEUT;PROPN;SG FIN;PRS;SG;V V;V.PTCP ADP DEF;DET V;V.PTCP N;PL _
spa-francorchamps	spa-francorchamps	MASC+FEM;PROPN;SG
vlaanderen bestrijkt de noordelijke provincies :	vlaanderen bestrijken de noordelijk provincie :	NEUT;PROPN;SG FIN;PRS;SG;V DEF;DET ADJ N;PL _
ineke lambers-hacquebard - staatssecretaris van volksgezondheid en milieuhygiëne , kabinet-van agt ii en kabinet-van agt iii	ineke lambers-hacquebard - staatssecretaris van volksgezondheid en milieuhygiëne , kabinet-van agt ii en kabinet-van agt iii	PROPN PROPN _ MASC+FEM;N;SG ADP MASC+FEM;N;SG CONJ MASC+FEM;N;SG _ N;NEUT;SG PROPN PROPN CONJ N;NEUT;SG PROPN PROPN
generaal tapioca	generaal tapioca	MASC+FEM;N;SG MASC+FEM;PROPN;SG
bekende acties zijn de acties tegen het duwvaartkanaal in 1973 en de ware volkshype spaar je hectare .	bekend actie zijn de actie tegen het duwvaartkanaal in 1973 en de waar volkshype sparen je hectare .	ADJ N;PL FIN;PL;PRS;V DEF;DET N;PL ADP DEF;DET NEUT;PROPN;SG ADP NUM CONJ DEF;DET ADJ MASC+FEM;N;SG FIN;PRS;SG;V 2;ACC;PRO MASC+FEM;N;SG _
de koning , die katholiek is , zorgde samen met zijn neven en nicht dat albert herenigd werd met zijn echtgenote .	de koning , die katholiek zijn , zorgen samen met zijn neef en nicht dat albert herenigen worden met zijn echtgenote .	DEF;DET MASC+FEM;N;SG _ PRO ADJ FIN;PRS;SG;V _ FIN;PST;SG;V ADV ADP 3;PRO N;PL CONJ MASC+FEM;N;SG CONJ MASC+FEM;PROPN;SG V;V.PTCP FIN;PST;SG;V ADP 3;PRO MASC+FEM;N;SG _
de meeste burgemeesters zijn min of meer tweetalig , met als boegbeeld freddy thielemans , de burgemeester van brussel-stad .	de veel burgemeester zijn min of veel tweetalig , met als boegbeeld freddy thielemans , de burgemeester van brussel-stad .	DEF;DET PRO N;PL FIN;PL;PRS;V ADV CONJ PRO ADJ _ ADP ADP N;NEUT;SG PROPN PROPN _ DEF;DET MASC+FEM;N;SG ADP NEUT;PROPN;SG _
op 13 april 1930 onthulde hij zelfs zijn eigen standbeeld met zijn lijfspreuk " pro luce " in de voortuinen tegenover het oostendse kursaal .	op 13 april 1930 onthullen hij zelfs zijn eigen standbeeld met zijn lijfspreuk " pro luce " in de voortuin tegenover het oostends kursaal .	ADP NUM MASC+FEM;PROPN;SG NUM FIN;PST;SG;V 3;NOM;PRO ADV 3;PRO ADJ N;NEUT;SG ADP 3;PRO MASC+FEM;N;SG _ _ _ _ ADP DEF;DET N;PL ADP DEF;DET ADJ NEUT;PROPN;SG _
raeren ( met hauset , lichtenbusch en eynatten )	raeren ( met hauset , lichtenbusch en eynatten )	NEUT;PROPN;SG _ ADP NEUT;PROPN;SG _ NEUT;PROPN;SG CONJ NEUT;PROPN;SG _
graaf françois de robiano ( 1830-1831 )	graaf françois de robiano ( 1830-1831 )	PROPN PROPN PROPN PROPN _ _ _
staatshoofd	staatshoofd	N;NEUT;SG
algemene centrale - ac	algemene centrale - ac	PROPN PROPN _ MASC+FEM;PROPN;SG
na een beslissing van de ministerraad van 26 juli 1985 vond een eerste audit van de politiediensten plaats .	na een beslissing van de ministerraad van 26 juli 1985 vinden een één audit van de politiedienst plaats .	ADP DET;INDF MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG ADP NUM MASC+FEM;PROPN;SG NUM FIN;PST;SG;V DET;INDF ADJ MASC+FEM;N;SG ADP DEF;DET N;PL MASC+FEM;N;SG _
hij bracht het tot onderofficier in die campagne en maakte met de ongeveer 400 andere acm-leden alle avonturen van het korps mee .	hij brengen het tot onderofficier in die campagne en maken met de ongeveer 400 ander acm-lid al avontuur van het korps mee .	3;NOM;PRO FIN;PST;SG;V 3;PRO ADP MASC+FEM;N;SG ADP DET MASC+FEM;N;SG CONJ FIN;PST;SG;V ADP DEF;DET ADV NUM ADJ N;PL DET N;PL ADP DEF;DET N;NEUT;SG ADP _
het koninklijk paleis van brussel	het koninklijk paleis van brussel	DEF;DET PROPN PROPN ADP NEUT;PROPN;SG
tijdens zijn nieuwjaarsreceptie van 2006 wekte albert het ongenoegen van de aanwezige vlaamse politici met een toespraak , waarin hij het separatisme afwees .	tijdens zijn nieuwjaarsreceptie van 2006 wekken albert het ongenoegen van de aanwezig vlaams politicus met een toespraak , waarin hij het separatisme afwijzen .	ADP 3;PRO MASC+FEM;N;SG ADP NUM FIN;PST;SG;V MASC+FEM;PROPN;SG DEF;DET N;NEUT;SG ADP DEF;DET ADJ ADJ N;PL ADP DET;INDF MASC+FEM;N;SG _ ADV 3;NOM;PRO DEF;DET N;NEUT;SG FIN;PST;SG;V _
externe links	extern link	ADJ N;PL
het werk was zwaar : vandersteen pendelde elke weekdag tussen antwerpen en brussel en was meestal pas om 9 uur thuis waarna hij dan pas aan het tekenwerk kon beginnen .	het werk zijn zwaar : vandersteen pendelen elk weekdag tussen antwerpen en brussel en zijn meestal pas om 9 uur thuis waarna hij dan pas aan het tekenwerk kunnen beginnen .	DEF;DET N;NEUT;SG FIN;PST;SG;V ADJ _ MASC+FEM;PROPN;SG FIN;PST;SG;V DET MASC+FEM;N;SG ADP NEUT;PROPN;SG CONJ NEUT;PROPN;SG CONJ FIN;PST;SG;V ADV ADV ADP NUM N;NEUT;SG ADV ADV 3;NOM;PRO ADV ADV ADP DEF;DET N;NEUT;SG FIN;PST;SG;V NFIN;V _
de kloosterstraat bevat vooral handelszaken in brocante , met een uitgebreid aanbod van antieke schilderijen , oude meubelen en woonaccessoires .	de kloosterstraat bevatten vooral handelszaak in brocante , met een uitbreiden aanbod van antiek schilderij , oud meubel en woonaccessoire .	DEF;DET MASC+FEM;PROPN;SG FIN;PRS;SG;V ADV N;PL ADP MASC+FEM;N;SG _ ADP DET;INDF V;V.PTCP N;NEUT;SG ADP ADJ N;PL _ ADJ N;PL CONJ N;PL _
onder de vlaamse primitieven is jan van eyck ( maaseik , ca. 1390 - brugge , 1441 ) ongetwijfeld de voornaamste meester , een vernieuwer op het gebied van de landschaps- en portretschildering .	onder de vlaams primitieven zijn jan van eyck ( maaseik , ca. 1390 - brugge , 1441 ) ongetwijfeld de voornaam meester , een vernieuwer op het gebied van de landschaps- en portretschildering .	ADP DEF;DET ADJ ADJ FIN;PRS;SG;V PROPN PROPN PROPN _ NEUT;PROPN;SG _ ADV NUM _ NEUT;PROPN;SG _ NUM _ ADV DEF;DET ADJ;RL MASC+FEM;N;SG _ DET;INDF MASC+FEM;N;SG ADP DEF;DET N;NEUT;SG ADP DEF;DET _ CONJ MASC+FEM;N;SG _
tongeren , met o.m. gallo-romeins museum	tongeren , met o.m. gallo-romeins museum	NEUT;PROPN;SG _ ADP _ ADJ N;NEUT;SG
deze functie wordt nu behartigd door zijn zoon prins filip .	deze functie worden nu behartigen door zijn zoon prins filip .	DET MASC+FEM;N;SG FIN;PRS;SG;V ADV V;V.PTCP ADP 3;PRO MASC+FEM;N;SG MASC+FEM;N;SG MASC+FEM;PROPN;SG _
de financiering van de hoofdstedelijke overheden is een groot actueel twistpunt .	de financiering van de hoofdstedelijk overheid zijn een groot actueel twistpunt .	DEF;DET MASC+FEM;N;SG ADP DEF;DET ADJ N;PL FIN;PRS;SG;V DET;INDF ADJ ADJ N;NEUT;SG _
belangrijkste steden : leuven , vilvoorde , halle , tienen , diest en aarschot .	belangrijk stad : leuven , vilvoorde , halle , tienen , diest en aarschot .	ADJ;RL N;PL _ NEUT;PROPN;SG _ NEUT;PROPN;SG _ NEUT;PROPN;SG _ NEUT;PROPN;SG _ NEUT;PROPN;SG CONJ NEUT;PROPN;SG _
het succes van de reeks was zo groot dat hij in 1948 door het weekblad kuifje benaderd werd met de vraag of hij ook voor hen wilde komen tekenen .	het succes van de reeks zijn zo groot dat hij in 1948 door het weekblad kuifje benaderen worden met de vraag of hij ook voor hen willen komen tekenen .	DEF;DET N;NEUT;SG ADP DEF;DET MASC+FEM;N;SG FIN;PST;SG;V ADV ADJ CONJ 3;NOM;PRO ADP NUM ADP DEF;DET N;NEUT;SG MASC+FEM;PROPN;SG V;V.PTCP FIN;PST;SG;V ADP DEF;DET MASC+FEM;N;SG CONJ 3;NOM;PRO ADV ADP 3;ACC;PRO FIN;PST;SG;V NFIN;V NFIN;V _
daarvoor verzon hij auto's , schepen en gebouwen vaak zelf en maakte hij culturen en volken tot stereotypen .	daarvoor verzinnen hij auto , schip en gebouw vaak zelf en maken hij cultuur en volk tot stereotype .	ADV FIN;PST;SG;V 3;NOM;PRO N;PL _ N;PL CONJ N;PL ADJ ADV CONJ FIN;PST;SG;V 3;NOM;PRO N;PL CONJ N;PL ADP N;PL _
de gerst gaat door deze lente-achtige omstandigheden ontkiemen ( er groeit een worteltje uit ) .	de gerst gaan door deze lente-achtig omstandigheid ontkiemen ( er groeien een wortel uit ) .	DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V ADP DET ADJ N;PL NFIN;V _ ADV FIN;PRS;SG;V DET;INDF N;NEUT;SG ADP _ _
( 2003 )	( 2003 )	_ NUM _
stroomgebied van de ijzer	stroomgebied van de ijzer	N;NEUT;SG ADP DEF;DET MASC+FEM;PROPN;SG
isidoor teirlinck , vader van herman teirlinck , registreerde vele van deze woorden en uitdrukkingen in zijn « zuidoost-vlaams idioticon » .	isidoor teirlinck , vader van herman teirlinck , registreren veel van deze woord en uitdrukking in zijn « zuidoost-vlaams idioticon » .	PROPN PROPN _ MASC+FEM;N;SG ADP PROPN PROPN _ FIN;PST;SG;V PRO ADP DET N;PL CONJ N;PL ADP 3;PRO _ ADJ NEUT;PROPN;SG _ _
koningskwestie en schoolstrijd	koningskwestie en schoolstrijd	MASC+FEM;N;SG CONJ MASC+FEM;N;SG
maar ook gagstrips zoals « de familie snoek » , « de grappen van lambik » , « de vrolijke bengels » en « 't prinske » bleven uit zijn potlood rollen .	maar ook gagstrip zoals « de familie snoek » , « de grap van lambik » , « de vrolijk bengel » en « het prins » blijven uit zijn potlood rollen .	CONJ ADV N;PL CONJ _ DEF;DET MASC+FEM;N;SG MASC+FEM;PROPN;SG _ _ _ DEF;DET N;PL ADP MASC+FEM;PROPN;SG _ _ _ DEF;DET ADJ N;PL _ CONJ _ DEF;DET N;NEUT;SG _ FIN;PL;PST;V ADP 3;PRO N;NEUT;SG NFIN;V _
georges simenon	georges simenon	PROPN PROPN
1919 - henri pelissier	1919 - henri pelissier	NUM _ PROPN PROPN
de vroegere politiediensten ( gemeentepolitie , gerechtelijke politie , rijkswacht , ... ) werden alle afgeschaft .	de vroeg politiedienst ( gemeentepolitie , gerechtelijk politie , rijkswacht , ... ) worden al afschaffen .	DEF;DET ADJ;CMPR N;PL _ MASC+FEM;N;SG _ ADJ MASC+FEM;N;SG _ MASC+FEM;N;SG _ _ _ FIN;PL;PST;V PRO V;V.PTCP _
de goede dennenboom	de goed dennenboom	DEF;DET ADJ MASC+FEM;N;SG
parcours	parcours	N;PL
op het eind van de jaren '90 is het marktaandeel van vtm flink gedaald , van 35 % tot 20 à 25 % , vooral door een vernieuwingsoperatie bij vrt tv1 ( nu één ) .	op het eind van de jaar '90 zijn het marktaandeel van vtm flink dalen , van 35 % tot 20 à 25 % , vooral door een vernieuwingsoperatie bij vrt tv1 ( nu één ) .	ADP DEF;DET N;NEUT;SG ADP DEF;DET N;PL NUM FIN;PRS;SG;V DEF;DET N;NEUT;SG ADP MASC+FEM;PROPN;SG ADJ V;V.PTCP _ ADP NUM _ ADP NUM ADP NUM _ _ ADV ADP DET;INDF MASC+FEM;N;SG ADP MASC+FEM;PROPN;SG MASC+FEM;PROPN;SG _ ADV MASC+FEM;PROPN;SG _ _
