oighe chuimealta a bhíos aige leis an obair is fíneálta a dhéanamh .	oighe chuimealta a bí ag le an obair is fíneálta a déanamh .	MASC;PROPN;SG ADJ;V.PTCP PART IMP;PST;V 3;ADP;MASC;SG ADP DEF;DET;SG DEF;FEM;N;SG PART ADJ;{CMPR/RL} PART N;NFIN _
le roinnt seachtainí anois , tá an ball oinigh le haghaidh hartlepoole ag scríobh leis go scríobach faoi cheist an tuaiscirt san iris chlúiteach sin gq ( murab ionann agus gi ach sin scéal eile ) .	le roinnt seachtain anois , bí an ball oineach le aghaidh hartlepoole ag scríobh le go scríobach faoi ceist an tuaisceart i iris clúiteach sin gq ( mura ionann agus gi ach sin scéal eile ) .	ADP FEM;N;SG FEM;GEN;N;PL ADV _ IND;PRS;V DEF;DET;SG MASC;PROPN;SG GEN;MASC;N;SG ADP FEM;N;SG MASC;PROPN;SG ADP N;V.MSDR 3;ADP;MASC;SG PART ADJ ADP FEM;N;SG DEF;DET;SG GEN;MASC;N;SG ADP;SG DEF;FEM;N;SG ADJ;FEM;SG DET _ _ CONJ;PST ADJ CONJ _ CONJ PRO MASC;N;SG DET _ _
' éireoidh linn dul ar ais , ' a ghlaoigh sé amach agus misneach ina ghuth .	' éirigh le dul ar ais , ' a glaoigh sé amach agus misneach i guth .	_ FUT;IND;V 1;ADP;PL N;NFIN ADV ADV _ _ PART IND;PST;V 3;MASC;PRO;SG ADV CONJ MASC;N;SG ADP MASC;N;SG _
art : céard tá i gceist agat ?	art : cé bí i ceist ag ?	MASC;PROPN;SG _ PRO IND;PRS;V ADP FEM;N;SG 2;ADP;SG _
níor ghá dó ach féachaint ar chás na gceithre dhaonáireamh a deineadh idir 1861 agus 1891 agus a loisceadh i rith an chéad chogadh mhóir , chun tuiscint a bheith ag riarthóir ar an gcailliúint mhór .	is gá do ach féachaint ar cás na ceathair daonáireamh a dein idir 1861 agus 1891 agus a loisc i rith an céad cogadh mór , chun tuiscint a bheith ag riarthóir ar an cailliúint mór .	NEG;PST;V MASC;N;SG 3;ADP;MASC;SG CONJ N;NFIN ADP MASC;N;SG DEF;DET;FEM;GEN;SG NUM GEN;MASC;N;PL PART IND;PST ADP NUM CONJ NUM CONJ PART IND;PST;V ADP ADP DEF;DET;SG NUM MASC;N;SG GEN;MASC;N;SG _ ADP FEM;N;SG PART N;NFIN ADP MASC;N;SG ADP DEF;DET;SG N;NFIN ADJ _
is beag planda a fhásann i dteocht faoi bhun 4c .	is beag planda a fás i teocht faoi bhun 4c .	PRS;V ADJ MASC;N;SG PART IND;PRS;V ADP FEM;N;SG ADP ADP _ _
dar leis an bhfile , bhí an bua ag mac adaim agus a lucht leanúna ach gur doirteadh barraíocht fola ar bhealach an bhua .	dar le an file , bí an bua ag mac adaim agus a lucht leanúint ach gur doirt barraíocht fuil ar bealach an bua .	IND;PRS;V ADP DEF;DET;SG MASC;N;SG _ IND;PST;V DEF;DET;SG DEF;MASC;N;SG ADP PART GEN;MASC;PROPN;SG CONJ 3;DET;MASC;SG MASC;N;SG FEM;GEN;N;SG CONJ PART;PST IND;PST;V FEM;N;SG FEM;GEN;N;SG ADP MASC;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG _
cé air a bhfuil muid ag brath chun é sin a dhéanamh sa tír seo go dtí go dtiocfaidh an lá a bheidh an páirtí glas i gcomhrialtas sa tír seo ?	cé ar a bí muid ag braith chun é sin a déanamh i tír seo go dtí go tar an lá a bí an páirtí glas i comhrialtas i tír seo ?	PRO 3;ADP;MASC;SG PART IND;PRS;V 1;PL;PRO ADP N;V.MSDR ADP 3;MASC;PRO;SG PRO PART N;NFIN ADP;SG FEM;N;SG DET ADP ADP PART FUT;IND;V DEF;DET;SG MASC;N;SG PART FUT;IND;V DEF;DET;SG DEF;MASC;N;SG MASC;PROPN;SG ADP MASC;N;SG ADP;SG FEM;N;SG DET _
déanann siad poll a thochailt ansin agus beireann siad a gcuid uibheacha sa ghaineamh le haghaidh a ngoradh .	déan siad poll a tochailt ansin agus beir siad a cuid ubh i gaineamh le aghaidh a goradh .	IND;PRS;V 3;PL;PRO MASC;N;SG PART N;NFIN ADV CONJ IND;PRS;V 3;PL;PRO 3;DET;PL FEM;N;SG FEM;GEN;INDF;N;PL ADP;SG MASC;N;SG ADP FEM;N;SG 3;DET;PL N;NFIN _
ansin faigh amach cé mhéad fuinnimh a bheidh le fáil as gach ceann de na béilí seo agus déan comparáid idir an iontógáil fuinnimh iomlán agus an iontógáil atá molta i dtábla 1.4 .	ansin faigh amach cé méad fuinneamh a bí le fáil as gach ceann de na béile seo agus déan comparáid idir an tógáil fuinneamh iomlán agus an tógáil bí molta i tábla 1.4 .	ADV 2;IMP;SG;V ADV PRO MASC;N;SG GEN;MASC;N;SG PART FUT;IND;V ADP N;NFIN ADP DEF;DET MASC;N;SG ADP DEF;DET;PL DEF;MASC;N;PL DET CONJ 2;IMP;SG;V FEM;N;SG ADP DEF;DET;SG DEF;FEM;N;SG GEN;MASC;N;SG ADJ CONJ DEF;DET;SG DEF;FEM;N;SG IND;PRS;V ADJ;V.PTCP ADP MASC;N;SG NUM _
ní raibh ar a pholl thiar .	ní bí ar a poll thiar .	NEG;PART IND;NEG;PST;V ADP 3;DET;MASC;SG MASC;N;SG ADV _
chaitheamar roinnt urchar leo le bac a chur ar dhaoine aon chomhluadar a dhéanamh leo .	caith roinnt urchar le le bac a cur ar duine aon comhluadar a déanamh le .	1;IND;PL;PST;V FEM;N;SG GEN;MASC;N;PL 3;ADP;PL ADP MASC;N;SG PART N;NFIN ADP MASC;N;PL DET MASC;N;SG PART N;NFIN 3;ADP;PL _
dream áirid iad sin , cineál uaibhreach neamhspléach .	dream áirid iad sin , cineál uaibhreach neamhspléach .	MASC;N;SG FEM;N;SG 3;PL;PRO PRO _ MASC;N;SG ADJ;MASC;SG MASC;N;SG _
&quot; rachaidh an ollscoil i mbun na hoibre sin laistigh den ghaeltacht agus de phobal na gaeilge go háirithe .	&quot; téigh an ollscoil i mbun na obair sin laistigh de gaeltacht agus de pobal na gaeilge go áirithe .	_ FUT;IND;V DEF;DET;SG DEF;FEM;N;SG ADP ADP DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG DET ADV ADP;SG DEF;FEM;N;SG CONJ ADP MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;PROPN;SG PART ADJ _
is beag nár thit an píosa dealbhóireachta uathu , bhíodar sna trithí chomh mór sin .	is beag nár tit an píosa dealbhóireacht ó , bí i tritheamh chomh mór sin .	PRS;V ADJ NEG;PART;PST IND;NEG;PST;V DEF;DET;SG DEF;MASC;N;SG FEM;GEN;N;SG 3;ADP;PL _ 3;IND;PL;PST;V ADP;PL MASC;N;PL ADV ADJ DET _
( 3b ) ní bheidh feidhm ag fo-alt (1) maidir le comaoin a fuarthas i leith diúscartha iomchuí arna cur i gcrích le hordú a rinneadh faoi alt 28 (1) den acht um údarás forbartha dugthailte bhaile átha cliath , 1997 .	( 3b ) ní bí feidhm ag alt (1) maidir le comaoin a faigh i leith diúscarth iomchuí ar cur i críoch le ordú a déan faoi alt 28 (1) de acht um údarás forbairt dugthailte baile átha cliath , 1997 .	_ _ _ NEG;PART FUT;IND;NEG;V FEM;N;SG ADP MASC;N;SG _ ADP ADP FEM;N;SG PART IND;PST;V ADP FEM;N;SG MASC;N;PL ADJ 3;ADP;MASC;SG N;NFIN ADP DAT;FEM;N;SG ADP N;NFIN PART IND;PST;V ADP MASC;N;SG NUM _ ADP;SG MASC;N;SG ADP MASC;N;SG FEM;GEN;N;SG MASC;PROPN;SG GEN;MASC;PROPN;SG GEN;MASC;PROPN;SG PROPN _ NUM _
beidh imeachtaí sóisialta ar siúl i ndiaidh na gcainteanna .	bí imeacht sóisialta ar siúl i ndiaidh na caint .	FUT;IND;V MASC;N;PL ADJ ADP N;NFIN ADP ADP DEF;DET;PL FEM;N;PL _
tugadh an bhreith 3-2 i bhfabhar lubulwa .	tabhair an breith 3-2 i fabhar lubulwa .	IND;PST;V DEF;DET;SG DEF;FEM;N;SG NUM ADP MASC;N;SG MASC;PROPN;SG _
limistéar na meánmhara is áit dúcháis don rós mhuire .	limistéar na muir is áit dúchas do rós muire .	MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG PRS;V FEM;N;SG GEN;MASC;N;SG ADP;SG MASC;PROPN;SG FEM;GEN;PROPN;SG _
' míbhuntáistí costasach , ós rud é go mbíonn an spreota le gearradh ina cheathrúna ar dtús .	' míbhuntáiste costasach , ó rud é go bí an spreota le gearradh i ceathrú ar tús .	_ MASC;N;PL ADJ;MASC;PL _ CONJ MASC;N;SG 3;MASC;PRO;SG PART V DEF;DET;SG DEF;MASC;N;SG ADP N;NFIN 3;ADP;MASC;SG FEM;N;PL ADP MASC;N;SG _
do mhothaigh sí súile na ndaoine á gcur tríthi aniar .	do mothaigh sí súil na duine do cur tríthi aniar .	PART IND;PST;V 3;FEM;PRO;SG FEM;N;PL DEF;DET;PL GEN;MASC;N;PL 3;ADP;PL N;NFIN FEM;N;SG ADV _
dá fheabhas a iarrachtaí , is ar eigean a éiríonn leis .	dá feabhas a iarracht , is ar eigean a éirigh le .	CONJ MASC;N;SG 3;DET;MASC;SG FEM;N;PL _ PRS;V ADP MASC;N;SG PART IND;PRS;V 3;ADP;MASC;SG _
sheas sí ansin go cúthail agus an doras ar leathadh fána choinne aice .	seas sí ansin go cúthail agus an doras ar leathadh faoi_a coinne ag .	IND;PST;V 3;FEM;PRO;SG ADV PART ADJ CONJ DEF;DET;SG DEF;MASC;N;SG ADP N;NFIN 3;ADP;MASC;SG FEM;N;SG 3;ADP;FEM;SG _
' ní haon droch-chuimhneamh é sin , ' arsa an fear eile agus do stop sé chun a scíth a ligean ar feadh tamaill .	' is aon cuimhneamh é sin , ' arsa an fear eile agus do stop sé chun a scíth a ligean ar feadh tamall .	_ NEG;PRS;V NUM MASC;N;SG 3;MASC;PRO;SG PRO _ _ IND;PST;V DEF;DET;SG DEF;MASC;N;SG DET CONJ PART IND;PST;V 3;MASC;PRO;SG ADP 3;DET;MASC;SG FEM;N;SG PART N;NFIN ADP ADP GEN;MASC;N;SG _
rud ab fhusa a dhéanamh ...	rud is furasta a déanamh ...	MASC;N;SG PART ADJ;{CMPR/RL} PART N;NFIN _
go deimhin úsáideadh dílseacht don eaglais bhunaithe mar ghléas le leatrom a dhéanamh ar chaitlicigh agus le daoine áirithe a iompú in aghaidh na heaglaise inar rugadh iad .	go deimhin úsáid dílseacht do eaglais bunaithe mar gléas le leatrom a déanamh ar caitliceach agus le duine áirithe a iompú in aghaidh na eaglais i beir iad .	PART ADJ IND;PST;V FEM;N;SG ADP;SG GEN;MASC;PROPN;SG ADJ;V.PTCP ADP MASC;N;SG ADP MASC;N;SG PART N;NFIN ADP MASC;N;PL CONJ ADP MASC;N;PL ADJ;MASC;PL PART N;NFIN ADP ADP DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG PART IND;PST;V 3;PL;PRO _
cathair nua le dhá ghlúin anuas , tá pobal gaeilge bhéal feirste ag obair go dúthrachtach le hinfrastruchtúr pobail a thógáil .	cathair nua le dó glúin anuas , bí pobal gaeilge béal feirste ag obair go dúthrachtach le struchtúr pobal a tóg .	FEM;N;SG ADJ ADP NUM FEM;N;SG ADV _ IND;PRS;V MASC;N;SG FEM;GEN;PROPN;SG GEN;MASC;PROPN PROPN ADP N;V.MSDR PART ADJ ADP MASC;N;SG GEN;MASC;N;SG PART N;NFIN _
chruinnigh siad láithreach ina gciorcal ramhar nuair a tugadh faoi deara caismirt is clampar ag bolgadh i gceann de na cúinní .	cruinnigh siad láithreach i ciorcal ramhar nuair a tabhair faoi deara caismirt agus clampar ag bolgadh i gceann de na cúinne .	IND;PST;V 3;PL;PRO ADV 3;ADP;PL MASC;N;SG ADJ;MASC;SG CONJ PART IND;PST;V ADP N;SG FEM;N;SG CONJ MASC;N;SG ADP N;V.MSDR ADP ADP ADP DEF;DET;PL MASC;N;PL _
eisean a thug chuig an mbád mé arú aréir .	eisean a tabhair chuig an bád mé arú aréir .	3;MASC;PRO;SG PART IND;PST;V ADP DEF;DET;SG MASC;N;SG 1;PRO;SG ADV ADV _
bhí a leath-chos bacach ach níor fhág san ná go mbíodh sé ag preabarnaigh timpeall gan stad .	bí a cos bacach ach níor fág sin ná go bí sé ag preabarnaigh timpeall gan stad .	IND;PST;V 3;DET;MASC;SG FEM;N;SG ADJ CONJ NEG;PART;PST IND;NEG;PST;V PRO CONJ PART IMP;PST;V 3;MASC;PRO;SG ADP N;V.MSDR ADV ADP MASC;N;SG _
daoine nach iad .	duine is iad .	MASC;N;PL NEG;PRS;V 3;PL;PRO _
an t-ionad ?	an ionad ?	DEF;DET;SG DEF;MASC;N;SG _
ní bhfuair sí de fhreagra uaithi ach í a fheiceáil ag éirí ón bhord .	ní faigh sí de freagra ó ach í a feiceáil ag éirí ó bord .	NEG;PART IND;PST;V 3;FEM;PRO;SG ADP MASC;N;SG 3;ADP;FEM;SG CONJ 3;FEM;PRO;SG PART N;NFIN ADP N;V.MSDR ADP;SG MASC;N;SG _
agus mé ag rá na bhfocal úd i gcearnóg pheadair , bhí fhios agam cheana féin go mbeadh ar an gcéad imlitir agus ar an bpápacht go léir a bheith nasctha le fírinne an tslánaithe .	agus mé ag rá na focal úd i cearnóg peadar , bí fios ag cheana féin go bí ar an céad imlitir agus ar an pápacht go léir a bheith nasctha le fírinne an tslánaithe .	CONJ 1;PRO;SG ADP N;V.MSDR DEF;DET;PL DEF;GEN;MASC;N;PL DET ADP FEM;N;SG GEN;MASC;PROPN _ IND;PST;V MASC;N;SG 1;ADP;SG ADV PRO;REFL PART COND;V ADP DEF;DET;SG NUM FEM;N;SG CONJ ADP DEF;DET;SG FEM;N;SG PART ADJ PART N;NFIN ADJ;V.PTCP ADP MASC;N;SG DEF;DET;SG DEF;FEM;N;SG _
is ar éigean a bhí riachtanais teanga chomh soiléir riamh cheana agus atá siad faoi láthair , agus an oiread sin eolais bailithe fúthu .	is ar éigean a bí riachtanas teanga chomh soiléir riamh cheana agus bí siad faoi láthair , agus an oiread sin eolas bailithe faoi .	PRS;V ADP MASC;N;SG PART IND;PST;V MASC;N;PL FEM;GEN;N;SG ADV ADJ ADV ADV CONJ IND;PRS;V 3;PL;PRO ADP FEM;N;SG _ CONJ DEF;DET;SG N;SG DET GEN;MASC;N;SG ADJ;V.PTCP 3;ADP;PL _
cuirfear de mhuirear ar an mbuiséad an caiteachas riaracháin a thabhóidh na hinstitiúidí de thoradh fhorálacha an chonartha ar an aontas eorpach a bhaineann leis an gcomhbheartas eachtrach agus slándála agus leis an gcomhar i réimsí ceartais agus gnóthaí baile .	cuir de muirear ar an buiséad an caiteachas riarachán a tabhaigh na institiúid de toradh foráil an conradh ar an aontas eorpach a bain le an beartas eachtrach agus slándáil agus le an comhar i réimse ceartas agus gnó baile .	FUT;IND;V ADP MASC;N;SG ADP DEF;DET;SG MASC;N;SG DEF;DET;SG DEF;MASC;N;SG GEN;MASC;N;SG PART FUT;IND;V DEF;DET;PL DEF;FEM;N;PL ADP MASC;N;SG FEM;GEN;N;PL DEF;DET;SG DEF;GEN;MASC;N;SG ADP DEF;DET;SG MASC;N;SG GEN;MASC;PL;PROPN PART IND;PRS;V ADP DEF;DET;SG MASC;N;SG ADJ;MASC;SG CONJ FEM;GEN;N;SG CONJ ADP DEF;DET;SG MASC;N;SG ADP MASC;N;PL GEN;MASC;N;SG CONJ INDF;MASC;N;PL GEN;MASC;N;SG _
níl aon mheas tuillte ach an oiread ag an nginearál seán mac eoin agus an ginearál risteárd ó maolchatha , iar-ardshaighdiúirí a bhí anois ina bpolaiteoirí , agus a chuir i gcoinne ceannach arm agus a thug easpa tuisceana ar an saol le fios .	bí aon meas tuillte ach an oiread ag an ginearál seán mac eoin agus an ginearál risteárd ó maolchatha , iar-ardshaighdiúirí a bí anois i polaiteoir , agus a cuir i gcoinne ceannach arm agus a tabhair easpa tuisceana ar an saol le fios .	IND;NEG;PRS;V DET MASC;N;SG ADJ;V.PTCP CONJ DEF;DET;SG N;SG ADP DEF;DET;SG DEF;GEN;MASC;N;PL MASC;PROPN;SG PART MASC;PROPN;SG CONJ DEF;DET;SG DEF;MASC;N;SG MASC;PROPN;SG PART MASC;PROPN;SG _ FEM;N;PL PART IND;PST;V ADV 3;ADP;PL MASC;N;PL _ CONJ PART IND;PST;V ADP ADP MASC;N;SG GEN;MASC;N;PL CONJ PART IND;PST;V FEM;N;SG MASC;N;PL ADP DEF;DET;SG DEF;MASC;N;SG ADP MASC;N;SG _
an chéad chéim eile a bheidh sa bhfeachtas ná fógraí a fhoilsiú sna príomhnuachtáin , an tseachtain seo chugainn , ag lorg tacaíochta agus airgid ón phobal le haghaidh an fheachtais seo , a bhfuil ' tabhair abhaile iad ' mar theideal air .	an céad céim eile a bí i feachtas ná fógra a foilsiú i nuachtán , an seachtain seo chuig , ag lorg tacaíocht agus airgead ó pobal le aghaidh an feachtas seo , a bí ' tabhair abhaile iad ' mar teideal ar .	DEF;DET;SG NUM DEF;FEM;N;SG DET PART FUT;IND;V ADP;SG MASC;N;SG CONJ MASC;N;PL PART N;NFIN ADP;PL DEF;MASC;N;PL _ DEF;DET;SG DEF;FEM;N;SG DET 1;ADP;PL _ ADP N;V.MSDR FEM;GEN;N;SG CONJ GEN;MASC;N;SG ADP;SG MASC;N;SG ADP FEM;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG DET _ PART IND;PRS;V _ 2;IMP;SG;V ADV 3;PL;PRO _ ADP MASC;N;SG 3;ADP;MASC;SG _
bhí an fear ag siúl leis an mbean .	bí an fear ag siúl le an bean .	IND;PST;V DEF;DET;SG DEF;MASC;N;SG ADP N;V.MSDR ADP DEF;DET;SG FEM;N;SG _
fiú má fhanann siad ag baile , is trí mheán an bhéarla a bheidh orthu a ngnó a dhéanamh le seirbhísí poiblí agus le seirbhísí príobháideacha sa ghaeltacht .	fiú má fan siad ag baile , is trí meán an béarla a bí ar a gnó a déanamh le seirbhís poiblí agus le seirbhís príobháideach i gaeltacht .	N;SG CONJ IND;PRS;V 3;PL;PRO ADP MASC;N;SG _ PRS;V ADP MASC;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG PART FUT;IND;V 3;ADP;PL 3;DET;PL MASC;N;SG PART N;NFIN ADP FEM;N;PL ADJ;FEM;PL CONJ ADP FEM;N;PL ADJ;PL ADP;SG DEF;FEM;N;SG _
mhol duine éigin gur cheart ceithre theanga a theagasc do dhaoine óga sa ghaeltacht ach arís ní thuairiscítear cén fhealsúnacht a ba bhun leis an tuairim .	mol duine éigin is ceart ceathair teanga a teagasc do duine óg i gaeltacht ach arís ní tuairiscigh cé fealsúnacht a is bun le an tuairim .	IND;PST;V MASC;N;SG ADJ;MASC;SG PST;V ADJ NUM FEM;N;SG PART N;NFIN ADP MASC;N;PL ADJ;PL ADP;SG FEM;N;SG CONJ ADV NEG;PART IND;NEG;PRS;V PRO;SG FEM;N;SG PART PST;V MASC;N;SG ADP DEF;DET;SG FEM;N;SG _
níor dhúisigh san é .	níor dúisigh sin é .	NEG;PART;PST IND;NEG;PST;V _ 3;MASC;PRO;SG _
tá tréan-iarracht déanta anseo chun gach rud sa láithreán a choimead le chéile i clár amhain , ach gach rud ráite , is láithreán uafásach é seo chun gluaiseacht ó áit go háit .	bí tréan-iarracht déanta anseo chun gach rud i láithreán a coimead le céile i clár amháin , ach gach rud ráite , is láithreán uafásach é seo chun gluaiseacht ó áit go áit .	IND;PRS;V FEM;N;SG ADJ;V.PTCP ADV ADP DEF;DET MASC;N;SG ADP;SG MASC;N;SG PART N;NFIN ADP MASC;N;SG ADP MASC;N;SG ADJ;MASC;SG _ CONJ DEF;DET MASC;N;SG ADJ;V.PTCP _ PRS;V MASC;N;SG ADJ;MASC;SG 3;MASC;PRO;SG PRO ADP N;NFIN ADP FEM;N;SG ADP FEM;N;SG _
chuir an síneach isteach sa chomhrá go tapa .	cuir an síneach isteach i comhrá go tapa .	IND;PST;V DEF;DET;SG FEM;N;SG ADV ADP;SG MASC;N;SG PART ADJ _
is iad na daoine is mó a mbeidh díomá orthu na daoine sin a chreideann gur cathair de chuid na breataine í seo .	is iad na duine is mór a bí díomá ar na duine sin a creid is cathair de cuid na breatain í seo .	PRS;V 3;PL;PRO DEF;DET;PL DEF;MASC;N;PL PART ADJ;{CMPR/RL} PART FUT;IND;V FEM;N;SG 3;ADP;PL DEF;DET;PL MASC;N;PL DET PART IND;PRS;V PRS;V FEM;N;SG ADP FEM;N;SG DEF;DET;FEM;GEN;SG FEM;GEN;PROPN 3;FEM;PRO;SG DET _
is é an difríocht mhór idir bogadhmaid agus crua-adhmaid ná gan piocháin a bheith i mbogadhmaid , agus piocháin a bheith i gcrua-adhmaid .	is é an difríocht mór idir adhmad agus adhmad ná gan piochán a bheith i adhmad , agus piochán a bheith i adhmad .	PRS;V 3;MASC;PRO;SG DEF;DET;SG FEM;N;SG ADJ;FEM;SG ADP GEN;MASC;N;SG CONJ GEN;MASC;N;SG CONJ ADP MASC;N;PL PART N;NFIN ADP GEN;MASC;N;SG _ CONJ MASC;N;PL PART N;NFIN ADP GEN;MASC;N;SG _
braitheann neart an ailt , cuid mhór , ar ghuaillí maithe cruinne a bheith air .	braith neart an alt , cuid mór , ar gualainn maith cruinn a bheith ar .	IND;PRS;V MASC;N;SG DEF;DET;SG GEN;MASC;N;SG _ FEM;N;SG ADJ;FEM;SG _ ADP FEM;N;PL FEM;N;PL ADJ;FEM;PL PART N;NFIN 3;ADP;MASC;SG _
tógann sé amach biro dearg ) maidhc : ( á stopadh .	tóg sé amach biro dearg ) maidhc : ( do stopadh .	IND;PRS;V 3;MASC;PRO;SG ADV _ ADJ _ MASC;N;SG _ _ 3;ADP;MASC;SG N;NFIN _
peigí ag déanamh patróil níos déine sa chistin , ise ina crunca gúngach níos mó uair ná ba ghnách léi , gach aon rite reaite tríd an teach de ríog agus clamhsán i sean-ard a cinn i dtaobh rud éigin aici .	peigí ag déanamh patról níos dian i cistin , ise i crunc gúngach níos mór uair ná is gnách le , gach aon rite reaite trí an teach de ríog agus clamhsán i ard a ceann i taobh rud éigin ag .	FEM;PROPN;SG ADP N;V.MSDR GEN;MASC;N;SG N;SG ADJ;{CMPR/RL} ADP;SG FEM;N;SG _ 3;FEM;PRO;SG 3;ADP;FEM;SG MASC;N;PL ADJ;MASC;SG N;SG ADJ;{CMPR/RL} FEM;N;SG CONJ PST;V ADJ 3;ADP;FEM;SG _ DEF;DET DET N ADJ;V.PTCP ADP DEF;DET;SG DEF;MASC;N;SG ADP FEM;N;SG CONJ MASC;N;SG ADP MASC;N;SG 3;DET;FEM;SG GEN;MASC;N;SG ADP MASC;N;SG MASC;N;SG ADJ;MASC;SG 3;ADP;FEM;SG _
' ' cén chaoi a raibh an drama úd i mbéarla inis meáin ?	' ' cé caoi a bí an dram úd i béarla inis meán ?	_ _ PRO;SG DEF;FEM;N;SG PART IND;PST;V DEF;DET;SG GEN;MASC;N;SG DET ADP MASC;N;SG MASC;PROPN;SG GEN;MASC;N;SG _
turas mí le fáil ar sheasca punt .	turas mí le fáil ar seasca punt .	MASC;N;SG FEM;GEN;PROPN;SG ADP N;NFIN ADP NUM MASC;N;SG _
' journalist : ach an gcreideann tú í ?	' journalist : ach an creid tú í ?	_ _ _ CONJ PART IND;PRS;V 2;PRO;SG 3;FEM;PRO;SG _
anois thuig mé gurbh fhocail de chineál nua a bhí ag teacht chugam , agus solas agus foghar uathu thar a bhfacthas nó a gcualathas cheana .	anois tuig mé is focal de cineál nua a bí ag teacht chuig , agus solas agus foghar ó thar a feic nó a gcualathas cheana .	ADV IND;PST;V 1;PRO;SG PST;V MASC;N;PL ADP MASC;N;SG ADJ PART IND;PST;V ADP N;V.MSDR 1;ADP;SG _ CONJ MASC;N;SG CONJ MASC;N;SG 3;ADP;PL ADP PART IND;PST;V CONJ PART MASC;N;SG ADV _
labhair sí liom ar na bealaí a bhí ag údaráis na scoile brú a chur ar na daltaí a gcuid teangacha a thabhairt suas .	labhair sí le ar na bealach a bí ag údarás na scoil brú a cur ar na dalta a cuid teanga a tabhairt suas .	IND;PST;V 3;FEM;PRO;SG 1;ADP;SG ADP DEF;DET;PL DEF;MASC;N;PL PART IND;PST;V ADP MASC;N;PL DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG MASC;N;SG PART N;NFIN ADP DEF;DET;PL DEF;MASC;N;PL 3;DET;PL FEM;N;SG FEM;GEN;N;PL PART N;NFIN ADV _
tháinig mé ort agus drúcht ar d' aghaidh , shín tú do lámha chugam .	tar mé ar agus drúcht ar do aghaidh , sín tú do lámh chuig .	IND;PST;V 1;PRO;SG 2;ADP;SG CONJ MASC;N;SG ADP 2;DET;SG FEM;N;SG _ IND;PST;V 2;PRO;SG 2;DET;SG FEM;N;PL 1;ADP;SG _
i dteannta an eolais seo uilig , tá nótaí praiticiúla ann do thurasóirí agus bhunadh na háite araon .	i teannta an eolas seo uile , bí nóta praiticiúil i do turasóir agus bunadh na áit araon .	ADP MASC;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG DET ADJ _ IND;PRS;V MASC;N;PL ADJ;PL 3;ADP;MASC;SG ADP MASC;N;PL CONJ MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG ADV _
bhí sé fós dorcha ag an am agus stop garda iad toisc nach raibh aon soilse acu ar na rothair .	bí sé fós dorcha ag an am agus stop garda iad toisc nach bí aon solas ag ar na rothar .	IND;PST;V 3;MASC;PRO;SG ADV ADJ ADP DEF;DET;SG MASC;N;SG CONJ IND;PST;V MASC;N;SG 3;PL;PRO FEM;N;SG NEG;PART IND;PST;V DET MASC;N;PL 3;ADP;PL ADP DEF;DET;PL MASC;N;PL _
' comhaontuithe faoi shaincheadu comharsain aoibhne ab ea iad .	' comhaontú faoi shaincheadu comharsain aoibhne is ea iad .	_ MASC;N;PL ADP MASC;N;SG FEM;PL;PROPN ADJ;FEM;PL PST;V 3;PRO;SG 3;PL;PRO _
dein é an fhaid is atáimse i dteagmháil leis na leaideanna ag an gceanncheathrú .	dein é an fad agus bí i teagmháil le na leaid ag an ceanncheathrú .	MASC;PROPN;SG 3;MASC;PRO;SG DEF;DET;SG DEF;GEN;MASC;N;SG CONJ 1;IND;PRS;SG;V ADP FEM;N;SG ADP DEF;DET;PL DEF;MASC;N;PL ADP DEF;DET;SG FEM;N;SG _
táimid thar n-ais sa chorrán arís .	bí thar ais i corrán arís .	1;IND;PL;PRS;V ADP N;SG ADP;SG MASC;N;SG ADV _
' tógann sé dhá uair a chloig taisteal ó leamhchán go dtí lár na cathrach ar maidin agus dhá uair a chloig arís sa tráthnóna ón lár go leamhchán .	' tóg sé dó uair an clog taisteal ó leamhchán go dtí lár na cathair ar maidin agus dó uair an clog arís i tráthnóna ó lár go leamhchán .	_ IND;PRS;V 3;MASC;PRO;SG NUM FEM;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG N;NFIN ADP MASC;PROPN;SG ADP ADP MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG ADP FEM;N;SG CONJ NUM FEM;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG ADV ADP;SG DEF;MASC;N;SG ADP;SG DEF;MASC;N;SG ADP MASC;PROPN;SG _
