това застрашава живота на военните ни разведки зад граница , реагираха специалисти .	този застрашавам живот на военен наш разведка зад граница , реагирам специалист .	NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;MASC;N;SG ADP ADJ;DEF;PL 1;PRO FEM;INDF;N;PL ADP FEM;INDF;N;SG _ 3;ACT;FIN;IND;PFV;PL;PST;V INDF;MASC;N;PL _
много му се насъбра на иван абаджиев .	много аз се насъбера-(се) на иван абаджиев .	ADV;INDF;PL 3;DAT;MASC;PRO;SG ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PST;SG;V ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _
това обяви димитър абаджиев , без да бъде питан .	този обявя-(се) димитър абаджиев , без да бъда питам-(се) .	NEUT;NOM;PRO;SG 3;ACT;FIN;IND;PFV;PST;SG;V INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _ ADP V 3;ACT;FIN;IND;PFV;PRS;SG;V INDF;IPFV;MASC;PASS;SG;V;V.PTCP _
на събранието присъстваха и студенти , някои от които се изказаха .	на събрание присъствам и студент , някой от който се изкажа-(се) .	ADP DEF;N;NEUT;SG 3;ACT;FIN;IND;IPFV;PL;V CONJ INDF;MASC;N;PL _ DET;NOM;PL ADP NOM;PL;PRO ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PL;PST;V _
славянското дърпане на душата и разкъсване на ризата не ми е особено присъщо .	славянски дърпане на душа и разкъсване на риза не аз съм особено присъщ .	ADJ;DEF;NEUT;SG INDF;N;NEUT;SG ADP DEF;FEM;N;SG CONJ INDF;N;NEUT;SG ADP DEF;FEM;N;SG NEG;PART 1;DAT;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV ADJ;INDF;NEUT;SG _
наопаки , някакво стеснение я придружава винаги и само по него ние можем да я отгатнем .	наопаки , някакъв стеснение аз придружавам винаги и само по аз аз мога да аз отгатна .	ADV _ DET;NEUT;SG INDF;N;NEUT;SG 3;ACC;FEM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV CONJ ADV ADP 3;ACC;NEUT;PRO;SG 1;NOM;PL;PRO 1;ACT;FIN;IND;IPFV;PL;PRS;V V 3;ACC;FEM;PRO;SG 1;ACT;FIN;IND;PFV;PL;PRS;V _
очаквам голяма вълна от млади хора да се върне в българия , тъй като хората ще знаят вече , че могат да пътуват , когато пожелаят и в двете посоки .	очаквам голям вълна от млад хора да се върна-(се) в българия , така като хора ще знам вече , че мога да пътувам , когато пожелая и в два посока .	1;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;FEM;INDF;SG FEM;INDF;N;SG ADP ADJ;INDF;PL INDF;N V ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PRS;SG;V ADP FEM;INDF;PROPN;SG _ ADV CONJ DEF;N V 3;ACT;FIN;IND;IPFV;PL;PRS;V ADV _ CONJ 3;ACT;FIN;IND;IPFV;PL;PRS;V V 3;ACT;FIN;IND;IPFV;PL;PRS;V _ ADV 3;ACT;FIN;IND;PFV;PL;PRS;V CONJ ADP DEF;FEM;NUM;PL FEM;INDF;N;PL _
под силния натиск общинските съветници напуснали сградата на културния център и отишли в общината .	под силен натиск общински съветник напусна сграда на културен център и отида-(си) в община .	ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG ADJ;DEF;PL INDF;MASC;N;PL ACT;INDF;PFV;PL;PST;V;V.PTCP DEF;FEM;N;SG ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG CONJ ACT;INDF;PFV;PL;PST;V;V.PTCP ADP DEF;FEM;N;SG _
- непрекъснато мисля за тези коледни подаръци , но засега не успявам да измисля нищо .	- непрекъснато мисля за този коледен подарък , но засега не успявам да измисля никой .	_ ADV 1;ACT;FIN;IND;IPFV;PRS;SG;V ADP DET;PL ADJ;INDF;PL INDF;MASC;N;PL _ CONJ ADV NEG;PART 1;ACT;FIN;IND;IPFV;PRS;SG;V V 1;ACT;FIN;IND;PFV;PRS;SG;V INDF;NEUT;NOM;PRO;SG _
а как ще щурмувате , моля ?	а как ще щурмувам , моля-(се) ?	CONJ ADV V 2;ACT;FIN;IND;IPFV;PL;PRS;V _ 1;ACT;FIN;IND;IPFV;PRS;SG;V _
радко янкулов оставил канал 3 заради спорта	радко янкулов оставя-(се) канал три заради спорт	INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP INDF;MASC;PROPN;SG INDF;NUM;PL ADP DEF;MASC;N;SG
синдикатът подклажда стачка за по-високи заплати сред социалните работници , които ще дават тези помощи , като по този начин блокира отпускането на парите .	синдикат подклаждам стачка за висок заплата сред социален работник , който ще давам-(се) този помощ , като по този начин блокирам отпускане на пара .	DEF;MASC;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;INDF;N;SG ADP ADJ;CMPR;INDF;PL FEM;INDF;N;PL ADP ADJ;DEF;PL INDF;MASC;N;PL _ NOM;PL;PRO V 3;ACT;FIN;IND;IPFV;PL;PRS;V DET;PL FEM;INDF;N;PL _ CONJ ADP DET;MASC;SG INDF;MASC;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;N;NEUT;SG ADP DEF;FEM;N;PL _
тлъста хапка , без да го задави .	тлъст хапка , без да аз задавя-(се) .	ADJ;FEM;INDF;SG FEM;INDF;N;SG _ ADP V 3;ACC;MASC;PRO;SG 3;ACT;FIN;IND;PFV;PRS;SG;V _
президентът и вицепрезидентът не носят отговорност за действията , извършени при изпълнение на своите функции , с изключение на държавна измяна и нарушение на конституцията .	президент и вицепрезидент не нося-(се) отговорност за действие , извърша при изпълнение на свой функция , с изключение на държавен измяна и нарушение на конституция .	DEF;MASC;N;SG CONJ DEF;MASC;N;SG NEG;PART 3;ACT;FIN;IND;IPFV;PL;PRS;V FEM;INDF;N;SG ADP DEF;N;NEUT;PL _ ADJ;INDF;PASS;PFV;PL;V.PTCP ADP INDF;N;NEUT;SG ADP DEF;DET;PL;REFL FEM;INDF;N;PL _ ADP INDF;N;NEUT;SG ADP ADJ;FEM;INDF;SG FEM;INDF;N;SG CONJ INDF;N;NEUT;SG ADP DEF;FEM;PROPN;SG _
покрили сме изискванията и можем да бъдем външна граница на шенген , обяви радев .	покрия-(се) съм изискване и мога да бъда външен граница на шенген , обявя-(се) радев .	ACT;INDF;PFV;PL;PST;V;V.PTCP 1;ACT;FIN;IND;IPFV;PL;PRS;V DEF;N;NEUT;PL CONJ 1;ACT;FIN;IND;IPFV;PL;PRS;V V 1;ACT;FIN;IND;PFV;PL;PRS;V ADJ;FEM;INDF;SG FEM;INDF;N;SG ADP INDF;MASC;PROPN;SG _ 3;ACT;FIN;IND;PFV;PST;SG;V INDF;MASC;PROPN;SG _
значи можем и ние .	значи мога и аз .	PART 1;ACT;FIN;IND;IPFV;PL;PRS;V CONJ 1;NOM;PL;PRO _
благодаря .	благодаря .	1;ACT;FIN;IND;IPFV;PRS;SG;V _
станах юноша .	стана юноша .	1;ACT;FIN;IND;PFV;PST;SG;V INDF;MASC;N;SG _
англичанките смятат , че тя ще им е най-добър съветник в пазаруването .	англичанка смятам , че аз ще аз съм добър съветник в пазаруване .	DEF;FEM;N;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V _ CONJ 3;FEM;NOM;PRO;SG V 3;PL;PRO 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;INDF;MASC;RL;SG INDF;MASC;N;SG ADP DEF;N;NEUT;SG _
повече от 50 % от столичани досега са получили новите си документи , каза още той .	повече от петдесет процент от столичанин досега съм получа нов свой документ , кажа още аз .	ADV;INDF;PL ADP INDF;NUM;PL MASC;N ADP INDF;MASC;N;PL ADV 3;ACT;FIN;IND;IPFV;PL;PRS;V ACT;INDF;PFV;PL;PST;V;V.PTCP ADJ;DEF;PL NOM;PRO;REFL INDF;MASC;N;PL _ 3;ACT;FIN;IND;PFV;PST;SG;V ADV 3;MASC;NOM;PRO;SG _
белград .	белград .	INDF;MASC;PROPN;SG _
тежък жребий	тежък жребий	ADJ;INDF;MASC;SG INDF;MASC;N;SG
и откъде накъде ти , където си най-добър ?	и къде къде аз , където съм добър ?	CONJ ADV ADV 2;NOM;PRO;SG _ ADV 2;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;INDF;MASC;RL;SG _
от една страна - това е признание за последователната политика на правителството за развитие на селското стопанство .	от един страна - този съм признание за последователен политика на правителство за развитие на селски стопанство .	ADP DET;FEM;INDF;SG FEM;INDF;N;SG _ NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;N;NEUT;SG ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG ADP DEF;N;NEUT;SG ADP INDF;N;NEUT;SG ADP ADJ;DEF;NEUT;SG INDF;N;NEUT;SG _
знам кого да повикам .	знам кой да повикам .	1;ACT;FIN;IND;IPFV;PRS;SG;V ACC;ANIM;MASC;PRO;SG V 1;ACT;FIN;IND;PFV;PRS;SG;V _
възобновиха делото срещу гаич	възобновя-(се) дело срещу гаич	3;ACT;FIN;IND;PFV;PL;PST;V DEF;N;NEUT;SG ADP INDF;MASC;PROPN;SG
лъжеше с вдъхновението на поет .	лъжа-(се) с вдъхновение на поет .	3;ACT;FIN;IND;IPFV;SG;V ADP DEF;N;NEUT;SG ADP INDF;MASC;N;SG _
да не би да съм закъснял ?	да не съм да съм закъснея ?	V INTJ;NEG 3;COND;FIN;IPFV;PST;SG;V V 1;ACT;FIN;IND;IPFV;PRS;SG;V ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP _
разказ , разказче , ти ще кажеш .	разказ , разказче , аз ще кажа .	INDF;MASC;N;SG _ INDF;N;NEUT;SG _ 2;NOM;PRO;SG V 2;ACT;FIN;IND;PFV;PRS;SG;V _
после , като отидат в поделенията и ме видят , че идвам на проверка , ме причакват до портала да им дам пак .	после , като отида-(си) в поделение и аз видя-(се) , че идвам на проверка , аз причаквам до портал да аз дам-(се) пак .	ADV _ CONJ 3;ACT;FIN;IND;PFV;PL;PRS;V ADP DEF;N;NEUT;PL CONJ 1;ACC;PRO;SG 3;ACT;FIN;IND;PFV;PL;PRS;V _ CONJ 1;ACT;FIN;IND;IPFV;PRS;SG;V ADP FEM;INDF;N;SG _ 1;ACC;PRO;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP DEF;MASC;N;SG V 3;DAT;PL;PRO 1;ACT;FIN;IND;PFV;PRS;SG;V ADV _
както ви казах , в източногерманската армия , във варшавския договор държането на бойна готовност , без да има нужда , беше норма .	както аз кажа , в източногермански армия , във варшавски договор държане на боен готовност , без да има нужда , съм норма .	ADV 2;DAT;PL;PRO 1;ACT;FIN;IND;PFV;PST;SG;V _ ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG _ ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG DEF;N;NEUT;SG ADP ADJ;FEM;INDF;SG FEM;INDF;N;SG _ ADP V 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;INDF;N;SG _ 3;ACT;FIN;IND;IPFV;PST;SG;V FEM;INDF;N;SG _
вместо това разпредели работата си на малки порции и започни .	вместо този разпределя работа свой на малък порция и започна .	ADP NEUT;NOM;PRO;SG 2;FIN;IMP;PFV;SG;V DEF;FEM;N;SG NOM;PRO;REFL ADP ADJ;INDF;PL FEM;INDF;N;PL CONJ 2;FIN;IMP;IPFV;SG;V _
- ще участвам в този тираж на тотото .	- ще участвам в този тираж на тото .	_ V 1;ACT;FIN;IND;IPFV;PRS;SG;V ADP DET;MASC;SG INDF;MASC;N;SG ADP DEF;N;NEUT;SG _
зенкович се научи да пише	зенкович се науча-(се) да пиша	INDF;MASC;PROPN;SG ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PST;SG;V V 3;ACT;FIN;IND;IPFV;PRS;SG;V
не храним илюзии относно времето и усилията , които ще изисква този процес .	не храня-(се) илюзия относно време и усилие , който ще изисквам този процес .	NEG;PART 1;ACT;FIN;IND;IPFV;PL;PRS;V FEM;INDF;N;PL ADP DEF;N;NEUT;SG CONJ DEF;N;NEUT;PL _ NOM;PL;PRO V 3;ACT;FIN;IND;IPFV;PRS;SG;V DET;MASC;SG INDF;MASC;N;SG _
получавате чудесна гривна .	получавам чудесен гривна .	2;ACT;FIN;IND;IPFV;PL;PRS;V ADJ;FEM;INDF;SG FEM;INDF;N;SG _
за нея той е научил от вестниците .	за аз аз съм науча-(се) от вестник .	ADP 3;ACC;FEM;PRO;SG 3;MASC;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP ADP DEF;MASC;N;PL _
магаре отхапа мъжествеността на стопанина си	магаре отхапя мъжественост на стопанин свой	INDF;N;NEUT;SG 3;ACT;FIN;IND;PFV;PST;SG;V DEF;FEM;N;SG ADP DEF;MASC;N;SG NOM;PRO;REFL
той падаше и малко иманяр .	аз падам-(се) и малко иманяр .	3;MASC;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;SG;V CONJ ADV;INDF;PL INDF;MASC;N;SG _
хората ме питат за тебе .	хора аз питам-(се) за аз .	DEF;N 1;ACC;PRO;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP 2;ACC;PRO;SG _
" избягвам ситуациите , в които трябва да се подчиня на изискванията на другите . "	" избягвам ситуация , в който трябва да се подчиня-(се) на изискване на друг . "	_ 1;ACT;FIN;IND;IPFV;PRS;SG;V DEF;FEM;N;PL _ ADP NOM;PL;PRO 3;ACT;FIN;IND;IPFV;PRS;SG;V V ACC;PRO;REFL 1;ACT;FIN;IND;PFV;PRS;SG;V ADP DEF;N;NEUT;PL ADP ADJ;DEF;PL _ _
зеленогорски знаел кой гърми в плевен , но си мълчи	зеленогорски знам кой гърмя в плевен , но се мълча	INDF;MASC;PROPN;SG ACT;INDF;IPFV;MASC;SG;V;V.PTCP MASC;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP INDF;MASC;PROPN;SG _ CONJ DAT;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V
разбира се , говоря за страни , които имат някаква нормална икономика и които се опитват да я правят без държавно регулиране .	разбирам-(се) се , говоря за страна , който имам някакъв нормален икономика и който се опитвам-(се) да аз правя-(се) без държавен регулиране .	3;ACT;FIN;IND;IPFV;PRS;SG;V ACC;PRO;REFL _ 1;ACT;FIN;IND;IPFV;PRS;SG;V ADP FEM;INDF;N;PL _ NOM;PL;PRO 3;ACT;FIN;IND;IPFV;PL;PRS;V DET;FEM;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG CONJ NOM;PL;PRO ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PL;PRS;V V 3;ACC;FEM;PRO;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP ADJ;INDF;NEUT;SG INDF;N;NEUT;SG _
възприемам избора на софия и като още един важен сигнал , който дава европейската народна партия - сигнал , основан на цялостния фундамент на нейната политика по отношение на разширяването на европейския съюз , каза президентът .	възприемам избор на софия и като още един важен сигнал , който давам-(се) европейски народен партия - сигнал , основа на цялостен фундамент на мой политика по отношение на разширяване на европейски съюз , кажа президент .	1;ACT;FIN;IND;IPFV;PRS;SG;V DEF;MASC;N;SG ADP FEM;INDF;PROPN;SG CONJ ADP ADV INDF;MASC;NUM;SG ADJ N _ MASC;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;DEF;FEM;SG ADJ N _ N _ ADJ;INDF;MASC;PASS;PFV;SG;V.PTCP ADP ADJ;DEF;MASC;SG N ADP 3;DEF;DET;FEM;SG N ADP N ADP DEF;N;NEUT;SG ADP ADJ;DEF;MASC;SG N _ 3;ACT;FIN;IND;PFV;PST;SG;V DEF;MASC;N;SG _
в книгата е цитирано и изказване на българския президент петър стоянов .	в книга съм цитирам и изказване на български президент петър стоянов .	ADP DEF;FEM;N;SG V INDF;NEUT;PASS;PFV;SG;V;V.PTCP CONJ N ADP ADJ;DEF;MASC;SG N INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _
